State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Georgia,Evans ,Evans,GeorgiaEvans,38.9,15.8
Georgia,Fannin ,Fannin,GeorgiaFannin,33.5,21.8
Georgia,Fayette ,Fayette,GeorgiaFayette,20.9,46.2
Georgia,Floyd ,Floyd,GeorgiaFloyd,34.3,20.9
Georgia,Forsyth ,Forsyth,GeorgiaForsyth,15.6,53.1
Georgia,Franklin ,Franklin,GeorgiaFranklin,39.4,15.9
Georgia,Fulton ,Fulton,GeorgiaFulton,17.7,52.9
Georgia,Gilmer ,Gilmer,GeorgiaGilmer,35.4,20.4
Georgia,Glascock ,Glascock,GeorgiaGlascock,40.9,11.6
Georgia,Glynn ,Glynn,GeorgiaGlynn,26.7,29.9
Georgia,Gordon ,Gordon,GeorgiaGordon,34.9,14.7
Georgia,Grady ,Grady,GeorgiaGrady,39.2,13.9
Georgia,Greene ,Greene,GeorgiaGreene,33.4,26.9
Georgia,Gwinnett ,Gwinnett,GeorgiaGwinnett,22.3,36.9
Georgia,Habersham ,Habersham,GeorgiaHabersham,34.7,19.3
Georgia,Hall ,Hall,GeorgiaHall,27.7,24.5
Georgia,Hancock ,Hancock,GeorgiaHancock,43.1,8.6
Georgia,Haralson ,Haralson,GeorgiaHaralson,36.1,14.8
Georgia,Harris ,Harris,GeorgiaHarris,23.7,31.4
Georgia,Hart ,Hart,GeorgiaHart,36.9,15.7
Georgia,Heard ,Heard,GeorgiaHeard,45.1,8.7
Georgia,Henry ,Henry,GeorgiaHenry,31.7,28.5
Georgia,Houston ,Houston,GeorgiaHouston,27,28.3
Georgia,Irwin ,Irwin,GeorgiaIrwin,40.2,15.1
Georgia,Jackson ,Jackson,GeorgiaJackson,32.1,22.7
Georgia,Jasper ,Jasper,GeorgiaJasper,38.1,14.2
Georgia,Jeff Davis ,Jeff,GeorgiaJeff,38.7,10.3
Georgia,Jefferson ,Jefferson,GeorgiaJefferson,41.8,9.9
Georgia,Jenkins ,Jenkins,GeorgiaJenkins,44.8,7.9
Georgia,Johnson ,Johnson,GeorgiaJohnson,45.9,9.1
Georgia,Jones ,Jones,GeorgiaJones,39.2,19.6
Georgia,Lamar ,Lamar,GeorgiaLamar,39.4,15.8
Georgia,Lanier ,Lanier,GeorgiaLanier,37.9,16.5
Georgia,Laurens ,Laurens,GeorgiaLaurens,43.1,16.2
Georgia,Lee ,Lee,GeorgiaLee,29.8,25.4
Georgia,Liberty ,Liberty,GeorgiaLiberty,31.6,18.3
Georgia,Lincoln ,Lincoln,GeorgiaLincoln,39.7,15.9
Georgia,Long ,Long,GeorgiaLong,34.7,17.4
Georgia,Lowndes ,Lowndes,GeorgiaLowndes,31.4,25.3
Georgia,Lumpkin ,Lumpkin,GeorgiaLumpkin,30.4,26.4
Georgia,McDuffie ,McDuffie,GeorgiaMcDuffie,41.6,14
Georgia,McIntosh ,McIntosh,GeorgiaMcIntosh,37.4,17.6
Georgia,Macon ,Macon,GeorgiaMacon,34.8,8.8
Georgia,Madison ,Madison,GeorgiaMadison,39.8,18.5
Georgia,Marion ,Marion,GeorgiaMarion,35.5,13.4
Georgia,Meriwether ,Meriwether,GeorgiaMeriwether,39.8,10.4
Georgia,Miller ,Miller,GeorgiaMiller,36.5,14
Georgia,Mitchell ,Mitchell,GeorgiaMitchell,39.5,9.7
Georgia,Monroe ,Monroe,GeorgiaMonroe,33.3,26.8
Georgia,Montgomery ,Montgomery,GeorgiaMontgomery,38.1,16
Georgia,Morgan ,Morgan,GeorgiaMorgan,36,20.7
Georgia,Murray ,Murray,GeorgiaMurray,37.4,10.1
Georgia,Muscogee ,Muscogee,GeorgiaMuscogee,27.4,25.8
Georgia,Newton ,Newton,GeorgiaNewton,33.8,19.8
Georgia,Oconee ,Oconee,GeorgiaOconee,19.3,52.3
Georgia,Oglethorpe ,Oglethorpe,GeorgiaOglethorpe,38.9,17.1
Georgia,Paulding ,Paulding,GeorgiaPaulding,32.9,22.6
Georgia,Peach ,Peach,GeorgiaPeach,29.8,20.5
Georgia,Pickens ,Pickens,GeorgiaPickens,31.5,23.1
Georgia,Pierce ,Pierce,GeorgiaPierce,42.8,12.6
Georgia,Pike ,Pike,GeorgiaPike,41.8,17.1
Georgia,Polk ,Polk,GeorgiaPolk,37.9,13.7
Georgia,Pulaski ,Pulaski,GeorgiaPulaski,36.8,13.2
Georgia,Putnam ,Putnam,GeorgiaPutnam,37.6,23.4
