,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
197,California,"Colusa County, CA",Colusa,CaliforniaColusa,8824,1675
198,California,"Contra Costa County, CA",Contra,CaliforniaContra,493236,48020
199,California,"Del Norte County, CA",Del,CaliforniaDel,8466,884
200,California,"El Dorado County, CA",El,CaliforniaEl,83262,7490
201,California,"Fresno County, CA",Fresno,CaliforniaFresno,395258,50260
202,California,"Glenn County, CA",Glenn,CaliforniaGlenn,11455,1113
203,California,"Humboldt County, CA",Humboldt,CaliforniaHumboldt,54446,4965
204,California,"Imperial County, CA",Imperial,CaliforniaImperial,53949,15653
205,California,"Inyo County, CA",Inyo,CaliforniaInyo,7658,647
206,California,"Kern County, CA",Kern,CaliforniaKern,335707,48062
207,California,"Kings County, CA",Kings,CaliforniaKings,49883,6533
208,California,"Lake County, CA",Lake,CaliforniaLake,25567,2700
209,California,"Lassen County, CA",Lassen,CaliforniaLassen,8785,676
210,California,"Los Angeles County, CA",Los,CaliforniaLos,4291688,629811
211,California,"Madera County, CA",Madera,CaliforniaMadera,55089,6649
212,California,"Marin County, CA",Marin,CaliforniaMarin,121476,8662
213,California,"Mariposa County, CA",Mariposa,CaliforniaMariposa,6381,781
214,California,"Mendocino County, CA",Mendocino,CaliforniaMendocino,33723,3292
215,California,"Merced County, CA",Merced,CaliforniaMerced,100755,13981
216,California,"Modoc County, CA",Modoc,CaliforniaModoc,2900,270
217,California,"Mono County, CA",Mono,CaliforniaMono,6917,929
218,California,"Monterey County, CA",Monterey,CaliforniaMonterey,190389,23082
219,California,"Napa County, CA",Napa,CaliforniaNapa,62853,6014
220,California,"Nevada County, CA",Nevada,CaliforniaNevada,42787,3702
221,California,"Orange County, CA",Orange,CaliforniaOrange,1416738,136563
222,California,"Placer County, CA",Placer,CaliforniaPlacer,171319,13573
223,California,"Plumas County, CA",Plumas,CaliforniaPlumas,6753,806
224,California,"Riverside County, CA",Riverside,CaliforniaRiverside,997725,109998
225,California,"Sacramento County, CA",Sacramento,CaliforniaSacramento,641624,65558
226,California,"SanBenito County, CA",SanBenito,CaliforniaSan,28409,3119
227,California,"SanBernardino County, CA",SanBernardino,CaliforniaSan,874911,91295
228,California,"SanDiego County, CA",SanDiego,CaliforniaSan,1396547,141814
229,California,"SanFrancisco County/city, CA",SanFrancisco ,CaliforniaSan,512531,43525
230,California,"SanJoaquin County, CA",SanJoaquin,CaliforniaSan,294454,37374
231,California,"SanLuis Obispo County, CA",SanLuis ,CaliforniaSan,122495,10195
232,California,"SanMateo County, CA",SanMateo,CaliforniaSan,404128,29748
233,California,"SantaBarbara County, CA",SantaBarbara,CaliforniaSanta,200175,17335
234,California,"SantaClara County, CA",SantaClara,CaliforniaSanta,949353,71340
235,California,"SantaCruz County, CA",SantaCruz,CaliforniaSanta,120932,12714
236,California,"Shasta County, CA",Shasta,CaliforniaShasta,66484,6343
237,California,"Sierra County, CA",Sierra,CaliforniaSierra,1179,103
238,California,"Siskiyou County, CA",Siskiyou,CaliforniaSiskiyou,15286,1637
239,California,"Solano County, CA",Solano,CaliforniaSolano,183607,19205
240,California,"Sonoma County, CA",Sonoma,CaliforniaSonoma,225791,19300
241,California,"Stanislaus County, CA",Stanislaus,CaliforniaStanislaus,214885,25756
242,California,"Sutter County, CA",Sutter,CaliforniaSutter,40472,4995
243,California,"Tehama County, CA",Tehama,CaliforniaTehama,23317,2262
244,California,"Trinity County, CA",Trinity,CaliforniaTrinity,4155,360
245,California,"Tulare County, CA",Tulare,CaliforniaTulare,172852,26299
246,California,"Tuolumne County, CA",Tuolumne,CaliforniaTuolumne,17954,2084
247,California,"Ventura County, CA",Ventura,CaliforniaVentura,373903,34964
248,California,"Yolo County, CA",Yolo,CaliforniaYolo,97111,7915
249,California,"Yuba County, CA",Yuba,CaliforniaYuba,26879,3163
