,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
409,Hawaii,Hawaii,Hawaii,27.4,33.0
410,Hawaii,Hawaii ,Hawaii,30.2,29.4
411,Hawaii,Honolulu ,Honolulu,25.9,35.0
412,Hawaii,Kalawao ,Kalawao,27.4,24.2
413,Hawaii,Kauai ,Kauai,30.0,29.2
414,Hawaii,Maui ,Maui,31.3,27.2
415,Idaho,Idaho,Idaho,27.4,27.6
416,Idaho,Ada ,Ada,22.4,38.5
417,Idaho,Adams ,Adams,34.9,21.2
418,Idaho,Bannock ,Bannock,26.4,27.8
419,Idaho,Bear Lake ,Bear,38.4,18.9
420,Idaho,Benewah ,Benewah,38.4,15.2
421,Idaho,Bingham ,Bingham,31.3,21.2
422,Idaho,Blaine ,Blaine,25.6,35.4
423,Idaho,Boise ,Boise,30.6,27.1
424,Idaho,Bonner ,Bonner,29.8,23.8
425,Idaho,Bonneville ,Bonneville,25.4,31.3
426,Idaho,Boundary ,Boundary,42.7,19.8
427,Idaho,Butte ,Butte,36.0,16.2
428,Idaho,Camas ,Camas,43.2,16.3
429,Idaho,Canyon ,Canyon,32.1,18.7
430,Idaho,Caribou ,Caribou,32.4,19.0
431,Idaho,Cassia ,Cassia,29.8,18.6
432,Idaho,Clark ,Clark,28.0,12.2
433,Idaho,Clearwater ,Clearwater,35.5,17.9
434,Idaho,Custer ,Custer,28.6,24.4
435,Idaho,Elmore ,Elmore,26.8,18.7
436,Idaho,Franklin ,Franklin,37.8,17.7
437,Idaho,Fremont ,Fremont,30.2,21.7
438,Idaho,Gem ,Gem,37.0,17.5
439,Idaho,Gooding ,Gooding,35.0,17.2
440,Idaho,Idaho ,Idaho,36.1,19.8
441,Idaho,Jefferson ,Jefferson,25.5,24.7
442,Idaho,Jerome ,Jerome,30.6,16.1
443,Idaho,Kootenai ,Kootenai,27.2,25.2
444,Idaho,Latah ,Latah,19.7,45.4
445,Idaho,Lemhi ,Lemhi,30.3,22.9
446,Idaho,Lewis ,Lewis,29.6,17.9
447,Idaho,Lincoln ,Lincoln,33.3,10.3
448,Idaho,Madison ,Madison,15.2,36.4
449,Idaho,Minidoka ,Minidoka,32.1,14.1
450,Idaho,Nez Perce ,Nez,32.1,22.9
451,Idaho,Oneida ,Oneida,34.9,17.1
452,Idaho,Owyhee ,Owyhee,33.4,12.0
453,Idaho,Payette ,Payette,34.7,15.7
454,Idaho,Power ,Power,32.7,15.1
455,Idaho,Shoshone ,Shoshone,37.0,11.5
456,Idaho,Teton ,Teton,16.6,41.0
457,Idaho,Twin Falls ,Twin,27.2,20.6
458,Idaho,Valley ,Valley,26.7,30.4
459,Idaho,Washington ,Washington,33.8,16.3
460,Illinois,Illinois,Illinois,26.0,34.7
461,Illinois,Adams ,Adams,35.4,25.0
462,Illinois,Alexander ,Alexander,40.7,12.9
463,Illinois,Bond ,Bond,33.1,22.9
464,Illinois,Boone ,Boone,34.8,23.5
465,Illinois,Brown ,Brown,37.5,14.1
466,Illinois,Bureau ,Bureau,36.6,20.6
467,Illinois,Calhoun ,Calhoun,43.4,14.2
468,Illinois,Carroll ,Carroll,38.1,19.5
469,Illinois,Cass ,Cass,43.1,15.1
470,Illinois,Champaign ,Champaign,22.0,45.0
