State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass,Percent of people in poverty 2019
Maine,Washington,MaineWashington,61,44,33,38,22,4.099507994,2.920645001,4.193514175,4.206286044,48,4.500977054,2.994756945,2.73239376,2.618048097,40328,28.9,19.8,18.1,18.7,14.5,6.3,20.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,19.6
Maryland,Washington,MarylandWashington,81,51,37,36.5,21.9,4.831223288,3.690550462,4.881373243,4.867544087,40.5,5.175543703,4.81430754,4.59270958,4.395658322,58260,33.2,19.3,23.6,10.2,13.7,4.8,29.3,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,12.3
Minnesota,Washington,MinnesotaWashington,77,42,24,21,44.3,5.13196814,3.907088745,5.09806197,5.107159073,39.3,5.403664336,5.220806061,4.867844459,4.950189543,89598,46,14.7,23.1,6.5,9.8,5.1,25.8,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,4.6
Nebraska,Washington,NebraskaWashington,72,42,23,31.6,29.9,4.030559245,2.609594409,3.996117476,4.01317441,41.4,4.305759672,4.093876755,3.933639113,3.550717423,66485,37.1,14.5,24.8,11.7,11.9,5.2,20.8,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,6.8
Ohio,Washington,OhioWashington,108,48,38,40.3,18.8,4.391517307,3.363799945,4.476440326,4.487392936,44.1,4.782981153,4.496680618,4.338416648,3.959709024,46021,30.2,18.4,23.2,11.2,16.9,3.1,22.1,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,11
Oklahoma,Washington,OklahomaWashington,101,56,40,34,28.5,4.323231468,3.117602692,4.402312979,4.427291315,40.2,4.716011695,4.371086342,4.232386146,3.762678564,50388,35.6,18.4,24.2,10.1,11.6,3.7,17.7,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,12.9
Pennsylvania,Washington,PennsylvaniaWashington,100,58,41,37.3,30,4.978719055,3.994361152,5.007359384,5.024641624,44.5,5.31711646,5.069827136,4.853679964,4.650754218,59309,35.8,16.8,23.7,11.2,12.6,4.4,26.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,9.9
Rhode Island,Washington,Rhode IslandWashington,154,49,32,22.8,46.1,4.782451124,3.710878618,4.786112284,4.813794414,44.5,5.101203866,0,0,0,77862,44.8,18.4,21.4,7.7,7.8,4.9,25.9,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,8
Utah,Washington,UtahWashington,112,61,44,23.4,28.1,4.875101796,3.623352682,4.900367129,4.908683355,36.4,5.205575143,4.945512899,4.81691046,4.302439164,55175,30.9,20.2,27.6,9.8,11.4,6.1,18.1,2,0,34,1,0,0,0,16,1,11,36,11,1,1,0,1,3,0,0,2,0,30,63,0,0,6,9.5
California,Alameda,CaliforniaAlameda,218,79,43,17.6,47.4,5.870644398,4.853673881,5.90696555,5.922481001,37.4,6.215822555,5.875135377,5.120524577,5.780209986,85743,48,16,20.4,6.4,9.2,6,32.5,1,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,3,0,7,5,0,2,6,0,0,0,8.9
California,Amador,CaliforniaAmador,156,50,37,27.5,19.3,4.117503299,3.119585775,4.307538823,4.243707587,50.5,4.577824861,4.34795417,4.13261185,3.910997716,60636,32.7,23.2,24.1,9.9,10.1,6.4,32,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.8
California,Butte,CaliforniaButte,379,110,51,22.5,27.2,4.924770175,3.929878524,5.051202705,5.059040587,37.1,5.356169323,4.9990435,4.677314892,4.693744531,46516,35.9,22.2,22.7,9.2,10.1,5.7,20.1,1,0,22,0,0,0,6,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0,16.1
Idaho,Butte,IdahoButte,152,50,40,36,16.2,3.128076013,1.698970004,3.127752516,3.100370545,48.1,3.415307292,3.15075644,3.079904468,2.274157849,43207,32.5,16.1,18.3,16.3,16.8,4.4,22.6,1,0,22,0,0,0,6,1,0,0,1,7,0,0,0,0,1,0,0,0,0,0,5,0,0,0,14.6
California,Calaveras,CaliforniaCalaveras,192,77,44,28,18.3,4.291990095,3.209246849,4.350906716,4.357953895,52.1,4.655474595,4.42678769,4.211841096,3.99321572,54800,35.6,18.4,22.9,11.6,11.5,8.3,35.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1
California,Colusa,CaliforniaColusa,198,86,38,26.2,15,3.945665499,3.224014811,4.04626098,4.014520539,35.1,4.33171066,3.884908594,3.643353962,3.493318608,56481,24.2,19.2,16.6,26.2,13.8,4.5,24.7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
California,Fresno,CaliforniaFresno,298,153,74,22.7,21.2,5.596880669,4.701222484,5.688362862,5.690367991,32,5.990396579,5.551454878,5.205986148,5.274674998,48730,29.1,19.6,23,14.8,13.5,4.3,22.4,3,0,34,0,0,0,4,0,0,6,22,0,0,0,0,0,0,0,0,0,0,3,56,0,0,2,20.5
California,Glenn,CaliforniaGlenn,197,82,43,27.2,14.2,4.058995094,3.046495164,4.151400498,4.137543995,36.6,4.445557502,4.03702788,3.8359441,3.581494542,46260,22.6,19.7,17.8,23.9,16,5.7,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.1
California,Humboldt,CaliforniaHumboldt,109,44,29,22.2,30.4,4.735965979,3.695919253,4.830370504,4.833159866,38,5.13279742,4.662389469,4.138492167,4.491501766,43718,33.9,23.1,23.6,10.3,9.1,7.4,18.2,0,0,2,2,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19.1
California,Imperial,CaliforniaImperial,166,97,58,24.3,15.2,4.731983399,4.194597585,4.964966375,4.944314844,32.4,5.255793346,4.588013856,4.127137207,4.390069186,44779,24.4,24.3,24.7,13.4,13.1,4.4,20.8,1,0,16,0,0,47,0,0,0,5,3,0,2,0,0,0,1,0,0,0,0,1,41,0,0,2,22
California,Inyo,CaliforniaInyo,684,130,52,28.6,27.2,3.884115362,2.810904281,3.958277126,3.954290762,45.7,4.257318513,3.961278679,3.646991537,3.652729696,51500,31.5,23,22.4,14.5,8.7,4.5,16.9,0,0,21,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11.7
California,Kern,CaliforniaKern,267,140,81,27.8,16.4,5.525960397,4.681801839,5.655758687,5.633879326,31.5,5.94598677,5.264149345,4.977009862,4.929142933,50826,26.4,18.4,20.6,21.2,13.4,3.2,23.4,3,0,11,0,0,0,0,0,0,15,65,2,0,0,0,0,53,0,3,5,0,2,96,0,0,3,19
California,Kings,CaliforniaKings,543,124,67,25.3,14.7,4.697952564,3.815112658,4.917368951,4.82866634,31.7,5.176308352,4.622555934,4.36490729,4.24868424,49742,24.4,21.4,20.8,19.5,13.8,5,22.4,0,0,0,0,0,0,0,0,0,4,39,6,0,0,0,0,0,0,3,4,0,60,26,0,0,0,16
