,State,County,First Word of Each County,Year,Max AQI,90th Percentile AQI,Median AQI
458,Mississippi,Harrison,Harrison,2020,101,60,42
459,Mississippi,Hinds,Hinds,2020,114,62,44
460,Mississippi,Jackson,Jackson,2020,84,55,39
461,Mississippi,Lauderdale,Lauderdale,2020,50,42,31
462,Mississippi,Lee,Lee,2020,54,45,35
463,Mississippi,Yalobusha,Yalobusha,2020,51,42,31
464,Missouri,Andrew,Andrew,2020,77,49,38
465,Missouri,Boone,Boone,2020,93,44,33
466,Missouri,Buchanan,Buchanan,2020,126,53,33
467,Missouri,Callaway,Callaway,2020,87,45,35
468,Missouri,Cass,Cass,2020,105,49,36
469,Missouri,Cedar,Cedar,2020,99,50,36
470,Missouri,Clay,Clay,2020,101,55,35
471,Missouri,Clinton,Clinton,2020,87,48,37
472,Missouri,Franklin,Franklin,2020,94,17,1
473,Missouri,Greene,Greene,2020,116,52,37
474,Missouri,Iron,Iron,2020,100,47,17
475,Missouri,Jackson,Jackson,2020,157,60,40
476,Missouri,Jasper,Jasper,2020,82,52,35
477,Missouri,Jefferson,Jefferson,2020,141,54,38
478,Missouri,Lincoln,Lincoln,2020,108,48,37
479,Missouri,Monroe,Monroe,2020,84,43,31
480,Missouri,New Madrid,New,2020,200,168,117
481,Missouri,Perry,Perry,2020,97,47,36
482,Missouri,Saint Charles,Saint,2020,112,50,33
483,Missouri,Saint Louis,Saint,2020,144,61,40
484,Missouri,Sainte Genevieve,Sainte,2020,87,46,36
485,Missouri,St. Louis City,St.,2020,155,67,46
486,Missouri,Stoddard,Stoddard,2020,62,36,18
487,Missouri,Taney,Taney,2020,57,35,17
488,Montana,Cascade,Cascade,2020,115,44,18
489,Montana,Fergus,Fergus,2020,157,47,39
490,Montana,Flathead,Flathead,2020,190,56,35
491,Montana,Gallatin,Gallatin,2020,159,52,22
492,Montana,Lake,Lake,2020,174,27,6
493,Montana,Lewis and Clark,Lewis,2020,164,55,40
494,Montana,Lincoln,Lincoln,2020,327,71,40
495,Montana,Missoula,Missoula,2020,176,83,47
496,Montana,Phillips,Phillips,2020,140,64,35
497,Montana,Powder River,Powder,2020,157,66,40
498,Montana,Powell,Powell,2020,11,7,3
499,Montana,Ravalli,Ravalli,2020,176,54,11
500,Montana,Richland,Richland,2020,68,46,36
501,Montana,Roosevelt,Roosevelt,2020,55,26,9
502,Montana,Rosebud,Rosebud,2020,153,48,37
503,Montana,Sanders,Sanders,2020,236,51,23
504,Montana,Sheridan,Sheridan,2020,53,20,10
505,Montana,Silver Bow,Silver,2020,173,56,19
