,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
222,Idaho,Nez Perce,Nez,IdahoNez,2020,363,59,21
223,Idaho,Shoshone,Shoshone,IdahoShoshone,2020,346,64,30
224,Idaho,Twin Falls,Twin,IdahoTwin,2020,160,48,18
225,Idaho,Valley,Valley,IdahoValley,2020,192,63,30
226,Illinois,Adams,Adams,IllinoisAdams,2020,84,50,38
227,Illinois,Champaign,Champaign,IllinoisChampaign,2020,126,56,39
228,Illinois,Clark,Clark,IllinoisClark,2020,97,45,31
229,Illinois,Cook,Cook,IllinoisCook,2020,164,84,53
230,Illinois,DuPage,DuPage,IllinoisDuPage,2020,154,59,41
231,Illinois,Effingham,Effingham,IllinoisEffingham,2020,84,48,37
232,Illinois,Hamilton,Hamilton,IllinoisHamilton,2020,118,56,40
233,Illinois,Jersey,Jersey,IllinoisJersey,2020,112,55,39
234,Illinois,Jo Daviess,Jo,IllinoisJo,2020,87,44,32
235,Illinois,Kane,Kane,IllinoisKane,2020,161,64,39
236,Illinois,La Salle,La,IllinoisLa,2020,26,3,0
237,Illinois,Lake,Lake,IllinoisLake,2020,185,74,39
238,Illinois,Macon,Macon,IllinoisMacon,2020,90,56,41
239,Illinois,Macoupin,Macoupin,IllinoisMacoupin,2020,93,45,31
240,Illinois,Madison,Madison,IllinoisMadison,2020,112,70,47
241,Illinois,McHenry,McHenry,IllinoisMcHenry,2020,147,58,40
242,Illinois,McLean,McLean,IllinoisMcLean,2020,136,58,41
243,Illinois,Monroe,Monroe,IllinoisMonroe,2020,43,7,1
244,Illinois,Peoria,Peoria,IllinoisPeoria,2020,115,57,40
245,Illinois,Randolph,Randolph,IllinoisRandolph,2020,103,54,38
246,Illinois,Rock Island,Rock,IllinoisRock,2020,102,56,38
247,Illinois,Saint Clair,Saint,IllinoisSaint,2020,100,56,36
248,Illinois,Sangamon,Sangamon,IllinoisSangamon,2020,97,54,39
249,Illinois,Tazewell,Tazewell,IllinoisTazewell,2020,26,9,1
250,Illinois,Wabash,Wabash,IllinoisWabash,2020,74,17,1
251,Illinois,Will,Will,IllinoisWill,2020,155,60,42
252,Illinois,Winnebago,Winnebago,IllinoisWinnebago,2020,101,61,39
253,Indiana,Allen,Allen,IndianaAllen,2020,120,58,39
254,Indiana,Bartholomew,Bartholomew,IndianaBartholomew,2020,97,52,37
255,Indiana,Boone,Boone,IndianaBoone,2020,101,48,32
256,Indiana,Brown,Brown,IndianaBrown,2020,80,44,33
257,Indiana,Carroll,Carroll,IndianaCarroll,2020,100,44,31
258,Indiana,Clark,Clark,IndianaClark,2020,91,58,42
259,Indiana,Daviess,Daviess,IndianaDaviess,2020,19,4,0
260,Indiana,Delaware,Delaware,IndianaDelaware,2020,97,50,35
261,Indiana,Dubois,Dubois,IndianaDubois,2020,67,54,33
262,Indiana,Elkhart,Elkhart,IndianaElkhart,2020,158,54,36
263,Indiana,Floyd,Floyd,IndianaFloyd,2020,143,44,32
264,Indiana,Gibson,Gibson,IndianaGibson,2020,114,26,3
265,Indiana,Greene,Greene,IndianaGreene,2020,90,50,34
