,Unnamed: 0_x,State_x,County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Unnamed: 0_y,State_y,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
145,153,Florida,Manatee,FloridaManatee,2020,97,44,33,30.1,29.8,372,Florida,"Manatee County, FL",Manatee,FloridaManatee,164571,11925
146,154,Florida,Marion,FloridaMarion,2020,100,55,39,36.9,20.1,373,Florida,"Marion County, FL",Marion,FloridaMarion,128709,9760
147,155,Florida,Martin,FloridaMartin,2020,95,52,36,24.9,34.1,374,Florida,"Martin County, FL",Martin,FloridaMartin,67796,4384
148,156,Florida,Miami-Dade,FloridaMiami-Dade,2020,90,58,39,27.3,29.8,375,Florida,"Miami-Dade County, FL",Miami-Dade,FloridaMiami-Dade,1188173,103681
149,157,Florida,Nassau,FloridaNassau,2020,157,34,4,31.7,29.6,377,Florida,"Nassau County, FL",Nassau,FloridaNassau,38991,2347
150,158,Florida,Okaloosa,FloridaOkaloosa,2020,74,46,34,24.7,31.1,378,Florida,"Okaloosa County, FL",Okaloosa,FloridaOkaloosa,90729,5281
151,159,Florida,Orange,FloridaOrange,2020,93,51,36,24.4,34.6,380,Florida,"Orange County, FL",Orange,FloridaOrange,659050,78496
152,160,Florida,Osceola,FloridaOsceola,2020,90,44,32,31.3,21.8,381,Florida,"Osceola County, FL",Osceola,FloridaOsceola,160638,25155
153,161,Florida,Palm Beach,FloridaPalm,2020,92,54,38,24.0,36.7,382,Florida,"Palm Beach County, FL",Palm,FloridaPalm,662945,54434
154,162,Florida,Pasco,FloridaPasco,2020,77,46,35,33.2,24.0,383,Florida,"Pasco County, FL",Pasco,FloridaPasco,221185,17142
155,163,Florida,Pinellas,FloridaPinellas,2020,100,56,40,28.0,31.7,384,Florida,"Pinellas County, FL",Pinellas,FloridaPinellas,450266,34064
156,164,Florida,Polk,FloridaPolk,2020,87,54,37,34.7,20.2,385,Florida,"Polk County, FL",Polk,FloridaPolk,287979,28647
157,165,Florida,Putnam,FloridaPutnam,2020,67,27,14,41.2,12.3,386,Florida,"Putnam County, FL",Putnam,FloridaPutnam,24378,2092
158,166,Florida,Santa Rosa,FloridaSanta,2020,84,57,40,26.8,27.7,389,Florida,"Santa Rosa County, FL",Santa,FloridaSanta,78348,4299
159,167,Florida,Sarasota,FloridaSarasota,2020,90,55,38,28.9,35.4,390,Florida,"Sarasota County, FL",Sarasota,FloridaSarasota,171875,12589
160,168,Florida,Seminole,FloridaSeminole,2020,84,49,36,21.1,39.6,391,Florida,"Seminole County, FL",Seminole,FloridaSeminole,220602,17167
161,169,Florida,St. Lucie,FloridaSt.,2020,74,44,33,21.4,44.7,387,Florida,"St.Johns County, FL",St.,FloridaSt.,126772,7071
162,169,Florida,St. Lucie,FloridaSt.,2020,74,44,33,21.4,44.7,388,Florida,"St.Lucie County, FL",St.,FloridaSt.,134060,11303
165,170,Florida,Volusia,FloridaVolusia,2020,77,50,38,31.8,23.7,396,Florida,"Volusia County, FL",Volusia,FloridaVolusia,230585,18975
166,171,Florida,Wakulla,FloridaWakulla,2020,161,54,35,36.2,18.3,397,Florida,"Wakulla County, FL",Wakulla,FloridaWakulla,14216,669
167,172,Georgia,Bibb,GeorgiaBibb,2020,97,52,35,30.5,25.4,411,Georgia,"Bibb County, GA",Bibb,GeorgiaBibb,62371,5050
168,173,Georgia,Charlton,GeorgiaCharlton,2020,139,34,20,40.1,8.8,424,Georgia,"Charlton County, GA",Charlton,GeorgiaCharlton,4660,182
169,174,Georgia,Chatham,GeorgiaChatham,2020,131,58,39,24.2,33.6,425,Georgia,"Chatham County, GA",Chatham,GeorgiaChatham,129918,10713
170,175,Georgia,Chattooga,GeorgiaChattooga,2020,58,43,32,40.1,8.9,427,Georgia,"Chattooga County, GA",Chattooga,GeorgiaChattooga,8947,820
171,176,Georgia,Clarke,GeorgiaClarke,2020,99,54,36,19.9,44.0,429,Georgia,"Clarke County, GA",Clarke,GeorgiaClarke,54453,3753
172,177,Georgia,Clayton,GeorgiaClayton,2020,90,54,28,33.6,19.5,431,Georgia,"Clayton County, GA",Clayton,GeorgiaClayton,125357,14433
173,178,Georgia,Cobb,GeorgiaCobb,2020,90,49,35,18.5,47.4,433,Georgia,"Cobb County, GA",Cobb,GeorgiaCobb,389904,24453
174,179,Georgia,Coffee,GeorgiaCoffee,2020,108,42,25,37.2,13.0,434,Georgia,"Coffee County, GA",Coffee,GeorgiaCoffee,17835,1103
175,180,Georgia,Columbia,GeorgiaColumbia,2020,51,44,31,23.8,36.4,436,Georgia,"Columbia County, GA",Columbia,GeorgiaColumbia,71266,3145
176,181,Georgia,Dawson,GeorgiaDawson,2020,74,43,31,29.1,30.6,442,Georgia,"Dawson County, GA",Dawson,GeorgiaDawson,11735,584
177,182,Georgia,DeKalb,GeorgiaDeKalb,2020,106,57,38,20.9,44.2,444,Georgia,"DeKalb County, GA",DeKalb,GeorgiaDeKalb,364209,31474
178,183,Georgia,Dougherty,GeorgiaDougherty,2020,114,61,37,30.2,21.4,447,Georgia,"Dougherty County, GA",Dougherty,GeorgiaDougherty,34469,3243
179,184,Georgia,Douglas,GeorgiaDouglas,2020,77,44,32,30.4,28.2,448,Georgia,"Douglas County, GA",Douglas,GeorgiaDouglas,66930,5367
180,185,Georgia,Floyd,GeorgiaFloyd,2020,80,52,30,34.3,20.9,457,Georgia,"Floyd County, GA",Floyd,GeorgiaFloyd,40522,2712
181,186,Georgia,Fulton,GeorgiaFulton,2020,125,62,43,17.7,52.9,460,Georgia,"Fulton County, GA",Fulton,GeorgiaFulton,512593,44639
182,187,Georgia,Glynn,GeorgiaGlynn,2020,96,44,31,26.7,29.9,463,Georgia,"Glynn County, GA",Glynn,GeorgiaGlynn,35610,2605
183,188,Georgia,Gwinnett,GeorgiaGwinnett,2020,101,55,37,22.3,36.9,467,Georgia,"Gwinnett County, GA",Gwinnett,GeorgiaGwinnett,450909,30544
