County,State,Abbreviation,2019 Population _ Census
Autauga, Alabama, AlabamaAutauga,55869
Baldwin, Alabama, AlabamaBaldwin,223234
Barbour, Alabama, AlabamaBarbour,24686
Bibb, Alabama, AlabamaBibb,22394
Blount, Alabama, AlabamaBlount,57826
Bullock, Alabama, AlabamaBullock,10101
Butler, Alabama, AlabamaButler,19448
Calhoun, Alabama, AlabamaCalhoun,113605
Chambers, Alabama, AlabamaChambers,33254
Cherokee, Alabama, AlabamaCherokee,26196
Chilton, Alabama, AlabamaChilton,44428
Choctaw, Alabama, AlabamaChoctaw,12589
Clarke, Alabama, AlabamaClarke,23622
Clay, Alabama, AlabamaClay,13235
Cleburne, Alabama, AlabamaCleburne,14910
Coffee, Alabama, AlabamaCoffee,52342
Colbert, Alabama, AlabamaColbert,55241
Conecuh, Alabama, AlabamaConecuh,12067
Coosa, Alabama, AlabamaCoosa,10663
Covington, Alabama, AlabamaCovington,37049
Crenshaw, Alabama, AlabamaCrenshaw,13772
Cullman, Alabama, AlabamaCullman,83768
Dale, Alabama, AlabamaDale,49172
Dallas, Alabama, AlabamaDallas,37196
DeKalb, Alabama, AlabamaDeKalb,71513
Elmore, Alabama, AlabamaElmore,81209
Escambia, Alabama, AlabamaEscambia,36633
Etowah, Alabama, AlabamaEtowah,102268
Fayette, Alabama, AlabamaFayette,16302
Franklin, Alabama, AlabamaFranklin,31362
Geneva, Alabama, AlabamaGeneva,26271
Greene, Alabama, AlabamaGreene,8111
Hale, Alabama, AlabamaHale,14651
Henry, Alabama, AlabamaHenry,17205
Houston, Alabama, AlabamaHouston,105882
Jackson, Alabama, AlabamaJackson,51626
Jefferson, Alabama, AlabamaJefferson,658573
Lamar, Alabama, AlabamaLamar,13805
Lauderdale, Alabama, AlabamaLauderdale,92729
Lawrence, Alabama, AlabamaLawrence,32924
Lee, Alabama, AlabamaLee,164542
Limestone, Alabama, AlabamaLimestone,98915
Lowndes, Alabama, AlabamaLowndes,9726
Macon, Alabama, AlabamaMacon,18068
Madison, Alabama, AlabamaMadison,372909
Marengo, Alabama, AlabamaMarengo,18863
Marion, Alabama, AlabamaMarion,29709
Marshall, Alabama, AlabamaMarshall,96774
Mobile, Alabama, AlabamaMobile,413210
Monroe, Alabama, AlabamaMonroe,20733
Montgomery, Alabama, AlabamaMontgomery,226486
Morgan, Alabama, AlabamaMorgan,119679
Perry, Alabama, AlabamaPerry,8923
Pickens, Alabama, AlabamaPickens,19930
Pike, Alabama, AlabamaPike,33114
Randolph, Alabama, AlabamaRandolph,22722
Russell, Alabama, AlabamaRussell,57961
St, Alabama, AlabamaSt,89512
Shelby, Alabama, AlabamaShelby,217702
Sumter, Alabama, AlabamaSumter,12427
Talladega, Alabama, AlabamaTalladega,79978
Tallapoosa, Alabama, AlabamaTallapoosa,40367
Tuscaloosa, Alabama, AlabamaTuscaloosa,209355
Walker, Alabama, AlabamaWalker,63521
Washington, Alabama, AlabamaWashington,16326
Wilcox, Alabama, AlabamaWilcox,10373
Winston, Alabama, AlabamaWinston,23629
Aleutians, Alaska, AlaskaAleutians,3337
Aleutians, Alaska, AlaskaAleutians,5634
Anchorage, Alaska, AlaskaAnchorage,288000
Bethel, Alaska, AlaskaBethel,18386
Bristol, Alaska, AlaskaBristol,836
Denali, Alaska, AlaskaDenali,2097
Dillingham, Alaska, AlaskaDillingham,4916
Fairbanks, Alaska, AlaskaFairbanks,96849
Haines, Alaska, AlaskaHaines,2530
Hoonah-Angoon, Alaska, AlaskaHoonah-Angoon,2148
Juneau, Alaska, AlaskaJuneau,31974
Kenai, Alaska, AlaskaKenai,58708
Ketchikan, Alaska, AlaskaKetchikan,13901
Kodiak, Alaska, AlaskaKodiak,12998
Kusilvak, Alaska, AlaskaKusilvak,8314
Lake, Alaska, AlaskaLake,1592
Matanuska-Susitna, Alaska, AlaskaMatanuska-Susitna,108317
Nome, Alaska, AlaskaNome,10004
North, Alaska, AlaskaNorth,9832
Northwest, Alaska, AlaskaNorthwest,7621
Petersburg, Alaska, AlaskaPetersburg,3266
Prince, Alaska, AlaskaPrince,6203
Sitka, Alaska, AlaskaSitka,8493
Skagway, Alaska, AlaskaSkagway,1183
Southeast, Alaska, AlaskaSoutheast,6893
Valdez-Cordova, Alaska, AlaskaValdez-Cordova,9202
Wrangell, Alaska, AlaskaWrangell,2502
Yakutat, Alaska, AlaskaYakutat,579
Yukon-Koyukuk, Alaska, AlaskaYukon-Koyukuk,5230
Apache, Arizona, ArizonaApache,71887
Cochise, Arizona, ArizonaCochise,125922
Coconino, Arizona, ArizonaCoconino,143476
Gila, Arizona, ArizonaGila,54018
Graham, Arizona, ArizonaGraham,38837
Greenlee, Arizona, ArizonaGreenlee,9498
La, Arizona, ArizonaLa,21108
Maricopa, Arizona, ArizonaMaricopa,4485414
Mohave, Arizona, ArizonaMohave,212181
Navajo, Arizona, ArizonaNavajo,110924
Pima, Arizona, ArizonaPima,1047279
Pinal, Arizona, ArizonaPinal,462789
Santa, Arizona, ArizonaSanta,46498
Yavapai, Arizona, ArizonaYavapai,235099
Yuma, Arizona, ArizonaYuma,213787
Arkansas, Arkansas, ArkansasArkansas,17486
Ashley, Arkansas, ArkansasAshley,19657
Baxter, Arkansas, ArkansasBaxter,41932
Benton, Arkansas, ArkansasBenton,279141
Boone, Arkansas, ArkansasBoone,37432
Bradley, Arkansas, ArkansasBradley,10763
Calhoun, Arkansas, ArkansasCalhoun,5189
Carroll, Arkansas, ArkansasCarroll,28380
Chicot, Arkansas, ArkansasChicot,10118
Clark, Arkansas, ArkansasClark,22320
Clay, Arkansas, ArkansasClay,14551
Cleburne, Arkansas, ArkansasCleburne,24919
Cleveland, Arkansas, ArkansasCleveland,7956
Columbia, Arkansas, ArkansasColumbia,23457
Conway, Arkansas, ArkansasConway,20846
Craighead, Arkansas, ArkansasCraighead,110332
Crawford, Arkansas, ArkansasCrawford,63257
Crittenden, Arkansas, ArkansasCrittenden,47955
Cross, Arkansas, ArkansasCross,16419
Dallas, Arkansas, ArkansasDallas,7009
Desha, Arkansas, ArkansasDesha,11361
Drew, Arkansas, ArkansasDrew,18219
Faulkner, Arkansas, ArkansasFaulkner,126007
Franklin, Arkansas, ArkansasFranklin,17715
Fulton, Arkansas, ArkansasFulton,12477
Garland, Arkansas, ArkansasGarland,99386
Grant, Arkansas, ArkansasGrant,18265
Greene, Arkansas, ArkansasGreene,45325
Hempstead, Arkansas, ArkansasHempstead,21532
Hot, Arkansas, ArkansasHot,33771
Howard, Arkansas, ArkansasHoward,13202
Independence, Arkansas, ArkansasIndependence,37825
Izard, Arkansas, ArkansasIzard,13629
Jackson, Arkansas, ArkansasJackson,16719
Jefferson, Arkansas, ArkansasJefferson,66824
Johnson, Arkansas, ArkansasJohnson,26578
Lafayette, Arkansas, ArkansasLafayette,6624
Lawrence, Arkansas, ArkansasLawrence,16406
Lee, Arkansas, ArkansasLee,8857
Lincoln, Arkansas, ArkansasLincoln,13024
Little, Arkansas, ArkansasLittle,12259
Logan, Arkansas, ArkansasLogan,21466
Lonoke, Arkansas, ArkansasLonoke,73309
Madison, Arkansas, ArkansasMadison,16576
Marion, Arkansas, ArkansasMarion,16694
Miller, Arkansas, ArkansasMiller,43257
Mississippi, Arkansas, ArkansasMississippi,40651
Monroe, Arkansas, ArkansasMonroe,6701
Montgomery, Arkansas, ArkansasMontgomery,8986
Nevada, Arkansas, ArkansasNevada,8252
Newton, Arkansas, ArkansasNewton,7753
Ouachita, Arkansas, ArkansasOuachita,23382
Perry, Arkansas, ArkansasPerry,10455
Phillips, Arkansas, ArkansasPhillips,17782
Pike, Arkansas, ArkansasPike,10718
Poinsett, Arkansas, ArkansasPoinsett,23528
Polk, Arkansas, ArkansasPolk,19964
Pope, Arkansas, ArkansasPope,64072
Prairie, Arkansas, ArkansasPrairie,8062
Pulaski, Arkansas, ArkansasPulaski,391911
Randolph, Arkansas, ArkansasRandolph,17958
St, Arkansas, ArkansasSt,24994
Saline, Arkansas, ArkansasSaline,122437
Scott, Arkansas, ArkansasScott,10281
Searcy, Arkansas, ArkansasSearcy,7881
Sebastian, Arkansas, ArkansasSebastian,127827
Sevier, Arkansas, ArkansasSevier,17007
Sharp, Arkansas, ArkansasSharp,17442
Stone, Arkansas, ArkansasStone,12506
Union, Arkansas, ArkansasUnion,38682
Van, Arkansas, ArkansasVan,16545
Washington, Arkansas, ArkansasWashington,239187
White, Arkansas, ArkansasWhite,78753
Woodruff, Arkansas, ArkansasWoodruff,6320
Yell, Arkansas, ArkansasYell,21341
Alameda, California, CaliforniaAlameda,1671329
Alpine, California, CaliforniaAlpine,1129
Amador, California, CaliforniaAmador,39752
Butte, California, CaliforniaButte,219186
Calaveras, California, CaliforniaCalaveras,45905
Colusa, California, CaliforniaColusa,21547
Contra, California, CaliforniaContra,1153526
Del, California, CaliforniaDel,27812
El, California, CaliforniaEl,192843
Fresno, California, CaliforniaFresno,999101
Glenn, California, CaliforniaGlenn,28393
Humboldt, California, CaliforniaHumboldt,135558
Imperial, California, CaliforniaImperial,181215
Inyo, California, CaliforniaInyo,18039
Kern, California, CaliforniaKern,900202
Kings, California, CaliforniaKings,152940
Lake, California, CaliforniaLake,64386
Lassen, California, CaliforniaLassen,30573
Los, California, CaliforniaLos,10039107
Madera, California, CaliforniaMadera,157327
Marin, California, CaliforniaMarin,258826
Mariposa, California, CaliforniaMariposa,17203
Mendocino, California, CaliforniaMendocino,86749
Merced, California, CaliforniaMerced,277680
Modoc, California, CaliforniaModoc,8841
Mono, California, CaliforniaMono,14444
Monterey, California, CaliforniaMonterey,434061
Napa, California, CaliforniaNapa,137744
Nevada, California, CaliforniaNevada,99755
Orange, California, CaliforniaOrange,3175692
Placer, California, CaliforniaPlacer,398329
Plumas, California, CaliforniaPlumas,18807
Riverside, California, CaliforniaRiverside,2470546
Sacramento, California, CaliforniaSacramento,1552058
SanBenito, California, CaliforniaSanBenito,62808
SanBernardino, California, CaliforniaSanBernardino,2180085
SanDiego, California, CaliforniaSanDiego,3338330
SanFrancisco, California, CaliforniaSanFrancisco,881549
SanJoaquin, California, CaliforniaSanJoaquin,762148
SanLuis, California, CaliforniaSanLuis,283111
SanMateo, California, CaliforniaSanMateo,766573
SantaBarbara, California, CaliforniaSantaBarbara,446499
SantaClara, California, CaliforniaSantaClara,1927852
SantaCruz, California, CaliforniaSantaCruz,273213
Shasta, California, CaliforniaShasta,180080
Sierra, California, CaliforniaSierra,3005
Siskiyou, California, CaliforniaSiskiyou,43539
Solano, California, CaliforniaSolano,447643
Sonoma, California, CaliforniaSonoma,494336
Stanislaus, California, CaliforniaStanislaus,550660
Sutter, California, CaliforniaSutter,96971
Tehama, California, CaliforniaTehama,65084
Trinity, California, CaliforniaTrinity,12285
Tulare, California, CaliforniaTulare,466195
Tuolumne, California, CaliforniaTuolumne,54478
Ventura, California, CaliforniaVentura,846006
Yolo, California, CaliforniaYolo,220500
Yuba, California, CaliforniaYuba,78668
Adams, Colorado, ColoradoAdams,517421
Alamosa, Colorado, ColoradoAlamosa,16233
Arapahoe, Colorado, ColoradoArapahoe,656590
Archuleta, Colorado, ColoradoArchuleta,14029
Baca, Colorado, ColoradoBaca,3581
Bent, Colorado, ColoradoBent,5577
Boulder, Colorado, ColoradoBoulder,326196
Broomfield, Colorado, ColoradoBroomfield,70465
Chaffee, Colorado, ColoradoChaffee,20356
Cheyenne, Colorado, ColoradoCheyenne,1831
Clear, Colorado, ColoradoClear,9700
Conejos, Colorado, ColoradoConejos,8205
Costilla, Colorado, ColoradoCostilla,3887
Crowley, Colorado, ColoradoCrowley,6061
Custer, Colorado, ColoradoCuster,5068
Delta, Colorado, ColoradoDelta,31162
Denver, Colorado, ColoradoDenver,727211
Dolores, Colorado, ColoradoDolores,2055
Douglas, Colorado, ColoradoDouglas,351154
Eagle, Colorado, ColoradoEagle,55127
Elbert, Colorado, ColoradoElbert,26729
El, Colorado, ColoradoEl,720403
Fremont, Colorado, ColoradoFremont,47839
Garfield, Colorado, ColoradoGarfield,60061
Gilpin, Colorado, ColoradoGilpin,6243
Grand, Colorado, ColoradoGrand,15734
Gunnison, Colorado, ColoradoGunnison,17462
Hinsdale, Colorado, ColoradoHinsdale,820
Huerfano, Colorado, ColoradoHuerfano,6897
Jackson, Colorado, ColoradoJackson,1392
Jefferson, Colorado, ColoradoJefferson,582881
Kiowa, Colorado, ColoradoKiowa,1406
Kit, Colorado, ColoradoKit,7097
Lake, Colorado, ColoradoLake,8127
La, Colorado, ColoradoLa,56221
Larimer, Colorado, ColoradoLarimer,356899
Las, Colorado, ColoradoLas,14506
Lincoln, Colorado, ColoradoLincoln,5701
Logan, Colorado, ColoradoLogan,22409
Mesa, Colorado, ColoradoMesa,154210
Mineral, Colorado, ColoradoMineral,769
Moffat, Colorado, ColoradoMoffat,13283
Montezuma, Colorado, ColoradoMontezuma,26183
Montrose, Colorado, ColoradoMontrose,42758
Morgan, Colorado, ColoradoMorgan,29068
Otero, Colorado, ColoradoOtero,18278
Ouray, Colorado, ColoradoOuray,4952
Park, Colorado, ColoradoPark,18845
Phillips, Colorado, ColoradoPhillips,4265
Pitkin, Colorado, ColoradoPitkin,17767
Prowers, Colorado, ColoradoProwers,12172
Pueblo, Colorado, ColoradoPueblo,168424
Rio, Colorado, ColoradoRio,6324
Rio, Colorado, ColoradoRio,11267
Routt, Colorado, ColoradoRoutt,25638
Saguache, Colorado, ColoradoSaguache,6824
SanJuan, Colorado, ColoradoSanJuan,728
SanMiguel, Colorado, ColoradoSanMiguel,8179
Sedgwick, Colorado, ColoradoSedgwick,2248
Summit, Colorado, ColoradoSummit,31011
Teller, Colorado, ColoradoTeller,25388
Washington, Colorado, ColoradoWashington,4908
Weld, Colorado, ColoradoWeld,324492
Yuma, Colorado, ColoradoYuma,10019
Fairfield, Connecticut, ConnecticutFairfield,943332
Hartford, Connecticut, ConnecticutHartford,891720
Litchfield, Connecticut, ConnecticutLitchfield,180333
Middlesex, Connecticut, ConnecticutMiddlesex,162436
New, Connecticut, ConnecticutNew,854757
New, Connecticut, ConnecticutNew,265206
Tolland, Connecticut, ConnecticutTolland,150721
Windham, Connecticut, ConnecticutWindham,116782
Kent, Delaware, DelawareKent,180786
New, Delaware, DelawareNew,558753
Sussex, Delaware, DelawareSussex,234225
District, District of Columbia, District of ColumbiaDistrict,705749
Alachua, Florida, FloridaAlachua,269043
Baker, Florida, FloridaBaker,29210
Bay, Florida, FloridaBay,174705
Bradford, Florida, FloridaBradford,28201
Brevard, Florida, FloridaBrevard,601942
Broward, Florida, FloridaBroward,1952778
Calhoun, Florida, FloridaCalhoun,14105
Charlotte, Florida, FloridaCharlotte,188910
Citrus, Florida, FloridaCitrus,149657
Clay, Florida, FloridaClay,219252
Collier, Florida, FloridaCollier,384902
Columbia, Florida, FloridaColumbia,71686
DeSoto, Florida, FloridaDeSoto,38001
Dixie, Florida, FloridaDixie,16826
Duval, Florida, FloridaDuval,957755
Escambia, Florida, FloridaEscambia,318316
Flagler, Florida, FloridaFlagler,115081
Franklin, Florida, FloridaFranklin,12125
Gadsden, Florida, FloridaGadsden,45660
Gilchrist, Florida, FloridaGilchrist,18582
Glades, Florida, FloridaGlades,13811
Gulf, Florida, FloridaGulf,13639
Hamilton, Florida, FloridaHamilton,14428
Hardee, Florida, FloridaHardee,26937
Hendry, Florida, FloridaHendry,42022
Hernando, Florida, FloridaHernando,193920
Highlands, Florida, FloridaHighlands,106221
Hillsborough, Florida, FloridaHillsborough,1471968
Holmes, Florida, FloridaHolmes,19617
Indian, Florida, FloridaIndian,159923
Jackson, Florida, FloridaJackson,46414
Jefferson, Florida, FloridaJefferson,14246
Lafayette, Florida, FloridaLafayette,8422
Lake, Florida, FloridaLake,367118
Lee, Florida, FloridaLee,770577
Leon, Florida, FloridaLeon,293582
Levy, Florida, FloridaLevy,41503
Liberty, Florida, FloridaLiberty,8354
Madison, Florida, FloridaMadison,18493
Manatee, Florida, FloridaManatee,403253
Marion, Florida, FloridaMarion,365579
Martin, Florida, FloridaMartin,161000
Miami-Dade, Florida, FloridaMiami-Dade,2716940
Monroe, Florida, FloridaMonroe,74228
Nassau, Florida, FloridaNassau,88625
Okaloosa, Florida, FloridaOkaloosa,210738
Okeechobee, Florida, FloridaOkeechobee,42168
Orange, Florida, FloridaOrange,1393452
Osceola, Florida, FloridaOsceola,375751
Palm, Florida, FloridaPalm,1496770
Pasco, Florida, FloridaPasco,553947
Pinellas, Florida, FloridaPinellas,974996
Polk, Florida, FloridaPolk,724777
Putnam, Florida, FloridaPutnam,74521
St, Florida, FloridaSt,264672
St, Florida, FloridaSt,328297
Santa, Florida, FloridaSanta,184313
Sarasota, Florida, FloridaSarasota,433742
Seminole, Florida, FloridaSeminole,471826
Sumter, Florida, FloridaSumter,132420
Suwannee, Florida, FloridaSuwannee,44417
Taylor, Florida, FloridaTaylor,21569
Union, Florida, FloridaUnion,15237
Volusia, Florida, FloridaVolusia,553284
Wakulla, Florida, FloridaWakulla,33739
Walton, Florida, FloridaWalton,74071
Washington, Florida, FloridaWashington,25473
Appling, Georgia, GeorgiaAppling,18386
Atkinson, Georgia, GeorgiaAtkinson,8165
Bacon, Georgia, GeorgiaBacon,11164
Baker, Georgia, GeorgiaBaker,3038
Baldwin, Georgia, GeorgiaBaldwin,44890
Banks, Georgia, GeorgiaBanks,19234
Barrow, Georgia, GeorgiaBarrow,83240
Bartow, Georgia, GeorgiaBartow,107738
Ben, Georgia, GeorgiaBen,16700
Berrien, Georgia, GeorgiaBerrien,19397
Bibb, Georgia, GeorgiaBibb,153159
Bleckley, Georgia, GeorgiaBleckley,12873
Brantley, Georgia, GeorgiaBrantley,19109
Brooks, Georgia, GeorgiaBrooks,15457
Bryan, Georgia, GeorgiaBryan,39627
Bulloch, Georgia, GeorgiaBulloch,79608
Burke, Georgia, GeorgiaBurke,22383
Butts, Georgia, GeorgiaButts,24936
Calhoun, Georgia, GeorgiaCalhoun,6189
Camden, Georgia, GeorgiaCamden,54666
Candler, Georgia, GeorgiaCandler,10803
Carroll, Georgia, GeorgiaCarroll,119992
Catoosa, Georgia, GeorgiaCatoosa,67580
Charlton, Georgia, GeorgiaCharlton,13392
Chatham, Georgia, GeorgiaChatham,289430
Chattahoochee, Georgia, GeorgiaChattahoochee,10907
Chattooga, Georgia, GeorgiaChattooga,24789
Cherokee, Georgia, GeorgiaCherokee,258773
Clarke, Georgia, GeorgiaClarke,128331
Clay, Georgia, GeorgiaClay,2834
Clayton, Georgia, GeorgiaClayton,292256
Clinch, Georgia, GeorgiaClinch,6618
Cobb, Georgia, GeorgiaCobb,760141
Coffee, Georgia, GeorgiaCoffee,43273
Colquitt, Georgia, GeorgiaColquitt,45600
Columbia, Georgia, GeorgiaColumbia,156714
Cook, Georgia, GeorgiaCook,17270
Coweta, Georgia, GeorgiaCoweta,148509
Crawford, Georgia, GeorgiaCrawford,12404
Crisp, Georgia, GeorgiaCrisp,22372
Dade, Georgia, GeorgiaDade,16116
Dawson, Georgia, GeorgiaDawson,26108
Decatur, Georgia, GeorgiaDecatur,26404
DeKalb, Georgia, GeorgiaDeKalb,759297
Dodge, Georgia, GeorgiaDodge,20605
Dooly, Georgia, GeorgiaDooly,13390
Dougherty, Georgia, GeorgiaDougherty,87956
Douglas, Georgia, GeorgiaDouglas,146343
Early, Georgia, GeorgiaEarly,10190
Echols, Georgia, GeorgiaEchols,4006
Effingham, Georgia, GeorgiaEffingham,64296
Elbert, Georgia, GeorgiaElbert,19194
Emanuel, Georgia, GeorgiaEmanuel,22646
Evans, Georgia, GeorgiaEvans,10654
Fannin, Georgia, GeorgiaFannin,26188
Fayette, Georgia, GeorgiaFayette,114421
Floyd, Georgia, GeorgiaFloyd,98498
Forsyth, Georgia, GeorgiaForsyth,244252
Franklin, Georgia, GeorgiaFranklin,23349
Fulton, Georgia, GeorgiaFulton,1063937
Gilmer, Georgia, GeorgiaGilmer,31369
Glascock, Georgia, GeorgiaGlascock,2971
Glynn, Georgia, GeorgiaGlynn,85292
Gordon, Georgia, GeorgiaGordon,57963
Grady, Georgia, GeorgiaGrady,24633
Greene, Georgia, GeorgiaGreene,18324
Gwinnett, Georgia, GeorgiaGwinnett,936250
Habersham, Georgia, GeorgiaHabersham,45328
Hall, Georgia, GeorgiaHall,204441
Hancock, Georgia, GeorgiaHancock,8457
Haralson, Georgia, GeorgiaHaralson,29792
Harris, Georgia, GeorgiaHarris,35236
Hart, Georgia, GeorgiaHart,26205
Heard, Georgia, GeorgiaHeard,11923
Henry, Georgia, GeorgiaHenry,234561
Houston, Georgia, GeorgiaHouston,157863
Irwin, Georgia, GeorgiaIrwin,9416
Jackson, Georgia, GeorgiaJackson,72977
Jasper, Georgia, GeorgiaJasper,14219
Jeff, Georgia, GeorgiaJeff,15115
Jefferson, Georgia, GeorgiaJefferson,15362
Jenkins, Georgia, GeorgiaJenkins,8676
Johnson, Georgia, GeorgiaJohnson,9643
Jones, Georgia, GeorgiaJones,28735
Lamar, Georgia, GeorgiaLamar,19077
Lanier, Georgia, GeorgiaLanier,10423
Laurens, Georgia, GeorgiaLaurens,47546
Lee, Georgia, GeorgiaLee,29992
Liberty, Georgia, GeorgiaLiberty,61435
Lincoln, Georgia, GeorgiaLincoln,7921
Long, Georgia, GeorgiaLong,19559
Lowndes, Georgia, GeorgiaLowndes,117406
Lumpkin, Georgia, GeorgiaLumpkin,33610
McDuffie, Georgia, GeorgiaMcDuffie,21312
McIntosh, Georgia, GeorgiaMcIntosh,14378
Macon, Georgia, GeorgiaMacon,12947
Madison, Georgia, GeorgiaMadison,29880
Marion, Georgia, GeorgiaMarion,8359
Meriwether, Georgia, GeorgiaMeriwether,21167
Miller, Georgia, GeorgiaMiller,5718
Mitchell, Georgia, GeorgiaMitchell,21863
Monroe, Georgia, GeorgiaMonroe,27578
Montgomery, Georgia, GeorgiaMontgomery,9172
Morgan, Georgia, GeorgiaMorgan,19276
Murray, Georgia, GeorgiaMurray,40096
Muscogee, Georgia, GeorgiaMuscogee,195769
Newton, Georgia, GeorgiaNewton,111744
Oconee, Georgia, GeorgiaOconee,40280
Oglethorpe, Georgia, GeorgiaOglethorpe,15259
Paulding, Georgia, GeorgiaPaulding,168667
Peach, Georgia, GeorgiaPeach,27546
Pickens, Georgia, GeorgiaPickens,32591
Pierce, Georgia, GeorgiaPierce,19465
Pike, Georgia, GeorgiaPike,18962
Polk, Georgia, GeorgiaPolk,42613
Pulaski, Georgia, GeorgiaPulaski,11137
Putnam, Georgia, GeorgiaPutnam,22119
Quitman, Georgia, GeorgiaQuitman,2299
Rabun, Georgia, GeorgiaRabun,17137
Randolph, Georgia, GeorgiaRandolph,6778
Richmond, Georgia, GeorgiaRichmond,202518
Rockdale, Georgia, GeorgiaRockdale,90896
Schley, Georgia, GeorgiaSchley,5257
Screven, Georgia, GeorgiaScreven,13966
Seminole, Georgia, GeorgiaSeminole,8090
Spalding, Georgia, GeorgiaSpalding,66703
Stephens, Georgia, GeorgiaStephens,25925
Stewart, Georgia, GeorgiaStewart,6621
Sumter, Georgia, GeorgiaSumter,29524
Talbot, Georgia, GeorgiaTalbot,6195
Taliaferro, Georgia, GeorgiaTaliaferro,1537
Tattnall, Georgia, GeorgiaTattnall,25286
Taylor, Georgia, GeorgiaTaylor,8020
Telfair, Georgia, GeorgiaTelfair,15860
Terrell, Georgia, GeorgiaTerrell,8531
Thomas, Georgia, GeorgiaThomas,44451
Tift, Georgia, GeorgiaTift,40644
Toombs, Georgia, GeorgiaToombs,26830
Towns, Georgia, GeorgiaTowns,12037
Treutlen, Georgia, GeorgiaTreutlen,6901
Troup, Georgia, GeorgiaTroup,69922
Turner, Georgia, GeorgiaTurner,7985
Twiggs, Georgia, GeorgiaTwiggs,8120
Union, Georgia, GeorgiaUnion,24511
Upson, Georgia, GeorgiaUpson,26320
Walker, Georgia, GeorgiaWalker,69761
Walton, Georgia, GeorgiaWalton,94593
Ware, Georgia, GeorgiaWare,35734
Warren, Georgia, GeorgiaWarren,5254
Washington, Georgia, GeorgiaWashington,20374
Wayne, Georgia, GeorgiaWayne,29927
Webster, Georgia, GeorgiaWebster,2607
Wheeler, Georgia, GeorgiaWheeler,7855
White, Georgia, GeorgiaWhite,30798
Whitfield, Georgia, GeorgiaWhitfield,104628
Wilcox, Georgia, GeorgiaWilcox,8635
Wilkes, Georgia, GeorgiaWilkes,9777
Wilkinson, Georgia, GeorgiaWilkinson,8954
Worth, Georgia, GeorgiaWorth,20247
Hawaii, Hawaii, HawaiiHawaii,201513
Honolulu, Hawaii, HawaiiHonolulu,974563
Kalawao, Hawaii, HawaiiKalawao,86
Kauai, Hawaii, HawaiiKauai,72293
Maui, Hawaii, HawaiiMaui,167417
Ada, Idaho, IdahoAda,481587
Adams, Idaho, IdahoAdams,4294
Bannock, Idaho, IdahoBannock,87808
Bear, Idaho, IdahoBear,6125
Benewah, Idaho, IdahoBenewah,9298
Bingham, Idaho, IdahoBingham,46811
Blaine, Idaho, IdahoBlaine,23021
Boise, Idaho, IdahoBoise,7831
Bonner, Idaho, IdahoBonner,45739
Bonneville, Idaho, IdahoBonneville,119062
Boundary, Idaho, IdahoBoundary,12245
Butte, Idaho, IdahoButte,2597
Camas, Idaho, IdahoCamas,1106
Canyon, Idaho, IdahoCanyon,229849
Caribou, Idaho, IdahoCaribou,7155
Cassia, Idaho, IdahoCassia,24030
Clark, Idaho, IdahoClark,845
Clearwater, Idaho, IdahoClearwater,8756
Custer, Idaho, IdahoCuster,4315
Elmore, Idaho, IdahoElmore,27511
Franklin, Idaho, IdahoFranklin,13876
Fremont, Idaho, IdahoFremont,13099
Gem, Idaho, IdahoGem,18112
Gooding, Idaho, IdahoGooding,15179
Idaho, Idaho, IdahoIdaho,16667
Jefferson, Idaho, IdahoJefferson,29871
Jerome, Idaho, IdahoJerome,24412
Kootenai, Idaho, IdahoKootenai,165697
Latah, Idaho, IdahoLatah,40108
Lemhi, Idaho, IdahoLemhi,8027
Lewis, Idaho, IdahoLewis,3838
Lincoln, Idaho, IdahoLincoln,5366
Madison, Idaho, IdahoMadison,39907
Minidoka, Idaho, IdahoMinidoka,21039
Nez, Idaho, IdahoNez,40408
Oneida, Idaho, IdahoOneida,4531
Owyhee, Idaho, IdahoOwyhee,11823
Payette, Idaho, IdahoPayette,23951
Power, Idaho, IdahoPower,7681
Shoshone, Idaho, IdahoShoshone,12882
Teton, Idaho, IdahoTeton,12142
Twin, Idaho, IdahoTwin,86878
Valley, Idaho, IdahoValley,11392
Washington, Idaho, IdahoWashington,10194
Adams, Illinois, IllinoisAdams,65435
Alexander, Illinois, IllinoisAlexander,5761
Bond, Illinois, IllinoisBond,16426
Boone, Illinois, IllinoisBoone,53544
Brown, Illinois, IllinoisBrown,6578
Bureau, Illinois, IllinoisBureau,32628
Calhoun, Illinois, IllinoisCalhoun,4739
Carroll, Illinois, IllinoisCarroll,14305
Cass, Illinois, IllinoisCass,12147
Champaign, Illinois, IllinoisChampaign,209689
Christian, Illinois, IllinoisChristian,32304
Clark, Illinois, IllinoisClark,15441
Clay, Illinois, IllinoisClay,13184
Clinton, Illinois, IllinoisClinton,37562
Coles, Illinois, IllinoisColes,50621
Cook, Illinois, IllinoisCook,5150233
Crawford, Illinois, IllinoisCrawford,18667
Cumberland, Illinois, IllinoisCumberland,10766
DeKalb, Illinois, IllinoisDeKalb,104897
De, Illinois, IllinoisDe,15638
Douglas, Illinois, IllinoisDouglas,19465
DuPage, Illinois, IllinoisDuPage,922921
Edgar, Illinois, IllinoisEdgar,17161
Edwards, Illinois, IllinoisEdwards,6395
Effingham, Illinois, IllinoisEffingham,34008
Fayette, Illinois, IllinoisFayette,21336
Ford, Illinois, IllinoisFord,12961
Franklin, Illinois, IllinoisFranklin,38469
