,county,state,Abbreviation,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
2293,Portsmouth,Virginia,VirginiaPortsmouth,44426,12755,30948,48727,1587,29.8,20.6,24,11.7,13.9,2.1,24.1
2294,Posey,Indiana,IndianaPosey,13264,9206,3811,60992,2225,31.7,17.6,19.4,10.9,20.3,3.5,23.6
2295,Pottawatomie,Kansas,KansasPottawatomie,12815,9247,3257,64410,4496,40.5,12.4,21.7,12,13.4,3.9,21.1
2296,Pottawatomie,Oklahoma,OklahomaPottawatomie,28185,20240,7275,46159,1521,31.4,19.8,23.7,11.2,13.9,3,23.7
2297,Pottawattamie,Iowa,IowaPottawattamie,45733,26241,18570,56291,2064,30.5,17,25.4,10.7,16.4,3.2,20.5
2298,Potter,Pennsylvania,PennsylvaniaPotter,8901,7117,1686,41406,1472,29.5,16.7,18,13.5,22.2,4.7,24.5
2299,Potter,South Dakota,South DakotaPotter,1380,1139,227,51597,4265,33.9,16.6,20.9,17.3,11.3,7.3,14.3
2300,Potter,Texas,TexasPotter,33177,22732,9867,41852,1195,24.2,22.9,22.7,12.3,17.8,2.3,17.8
2301,Powder,Montana,MontanaPowder,1136,970,154,51136,7216,39.6,13.4,16.8,21.7,8.5,14.4,16.9
2302,Powell,Kentucky,KentuckyPowell,5505,4041,1367,34647,3402,21.1,15.9,20.9,13.7,28.4,1,28.5
2303,Powell,Montana,MontanaPowell,3187,2347,752,44352,4574,40.7,20.5,13.6,15.9,9.3,14.3,21.8
2304,Power,Idaho,IdahoPower,3086,2116,865,47602,3742,25.5,13.3,19.3,17.2,24.8,7.7,18.2
2305,Poweshiek,Iowa,IowaPoweshiek,10124,5657,4306,51456,2383,32.4,18.3,22.4,9,18,4.2,17.1
2306,Powhatan,Virginia,VirginiaPowhatan,19696,14055,5320,80441,4097,41.3,14.6,21.7,14.2,8.2,7.9,31.8
2307,Prairie,Arkansas,ArkansasPrairie,3465,2764,646,41244,2365,28.1,15.7,19.5,12.3,24.4,4.9,26.8
2308,Prairie,Montana,MontanaPrairie,744,603,126,50850,6481,44.1,13.6,16.5,19.2,6.7,17.6,12.8
2309,Pratt,Kansas,KansasPratt,4107,3087,924,53415,4992,32.9,17.5,19.7,16.9,13,2.8,12.8
2310,Preble,Ohio,OhioPreble,21437,16697,4435,52661,1632,29,18.9,19.5,10.4,22.1,3,26.5
2311,Prentiss,Mississippi,MississippiPrentiss,10539,8274,2128,32854,4000,21.7,19.7,23.1,9.3,26.1,1.6,25.4
2312,Presidio,Texas,TexasPresidio,2217,721,1463,26486,8419,28,26.1,18,22.8,5.1,6.5,18.3
2313,Presque,Michigan,MichiganPresque,8360,5343,2912,43758,2051,27.5,19.8,20.5,14.5,17.7,4.3,24.4
2314,Preston,West Virginia ,West Virginia Preston,14572,11190,3163,46673,1820,26.6,18.6,21.7,17.6,15.6,4.3,30.2
2315,Price,Wisconsin,WisconsinPrice,8546,5394,3032,45680,1454,26.7,18,16.6,12.9,25.7,5,19.2
2316,Prince,Virginia,VirginiaPrince,9543,4434,4973,44147,3938,30.2,27.5,22.9,9.7,9.7,3.6,21.4
2317,Prince,Virginia,VirginiaPrince,17401,10103,7103,68461,3433,35.7,16.7,24.8,9.3,13.4,3.1,25.7
2318,Prince,Maryland,MarylandPrince,397722,35017,356543,78607,1010,38.7,20.6,22.2,9.8,8.7,2.8,36.9
2319,Prince,Virginia,VirginiaPrince,227327,81222,142863,101059,1440,43.4,17.7,22.4,9.1,7.4,4.2,39.1
2320,Providence,Rhode Island,Rhode IslandProvidence,56842,10185,45931,52530,812,35,20.7,24,7.3,13,3.4,24.4
2321,Prowers,Colorado,ColoradoProwers,5507,3977,1438,41740,2550,32.9,19,22.7,16.3,9.1,7,13.8
2322,Pueblo,Colorado,ColoradoPueblo,86760,41502,43070,42386,1201,31.3,21.4,25.6,9.6,12.1,2.9,21.8
2323,Pulaski,Arkansas,ArkansasPulaski,165468,62389,98855,48850,1099,41.2,16.7,25.4,6.8,10,3.4,20.3
2324,Pulaski,Georgia,GeorgiaPulaski,4059,2805,1217,38750,4970,28,22,22.6,13.4,13.9,1.2,19.3
2325,Pulaski,Illinois,IllinoisPulaski,2631,1699,891,34655,3429,30.2,29.1,15.8,9.6,15.4,5.6,27.5
2326,Pulaski,Indiana,IndianaPulaski,5813,4246,1463,47633,4015,26.8,14.2,16.7,14.3,28.1,4.7,21.7
2327,Pulaski,Kentucky,KentuckyPulaski,31537,25441,5664,35022,2420,29.3,18.9,23.9,10.2,17.8,1.6,21
2328,Pulaski,Missouri,MissouriPulaski,14405,10326,3735,51137,2137,34.4,20.1,21.6,10.1,13.9,29.6,18.8
2329,Pulaski,Virginia,VirginiaPulaski,17327,12127,4925,49691,2407,31.2,17,23,8.8,20.1,2.6,22.8
2330,Pushmataha,Oklahoma,OklahomaPushmataha,4739,4016,668,35414,1897,29.5,18.1,20.6,18.1,13.7,2.9,27
2331,Putnam,Florida,FloridaPutnam,36408,25514,10524,33619,1120,23.3,22.8,24,15.9,14,4.4,27.9
2332,Putnam,Georgia,GeorgiaPutnam,11855,8291,3448,48340,3802,25.6,23,21.9,10.2,19.4,4.9,25
2333,Putnam,Illinois,IllinoisPutnam,3345,1978,1309,64741,5458,31.8,17.5,16.7,13,21,2.5,23.7
2334,Putnam,Indiana,IndianaPutnam,16595,12278,3946,55295,2952,28.5,17.5,22.8,11.5,19.8,2.9,25
2335,Putnam,Missouri,MissouriPutnam,2361,1984,361,37028,4041,29.2,14.5,18.9,15.6,21.9,8,19.8
