,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Unnamed: 0,county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
57,California,Placer,CaliforniaPlacer,222,108,54,18.0,39.7,171319,13573,185511,194566,41.9,380077,2258,Placer,California,215442.0,110859.0,99585.0,80488.0,1431.0,44.0,16.6,25.7,7.4,6.4,8.3,27.3
58,California,Plumas,CaliforniaPlumas,469,146,49,26.1,23.7,6753,806,9423,9276,52.2,18699,2264,Plumas,California,10950.0,6247.0,4465.0,50266.0,3476.0,32.4,25.1,18.6,13.9,10.0,5.7,21.9
59,California,Riverside,CaliforniaRiverside,576,159,87,26.9,22.3,997725,109998,1186188,1197098,35.3,2383286,2409,Riverside,California,722913.0,323026.0,387200.0,60807.0,429.0,29.4,21.4,24.6,11.4,13.2,5.2,33.1
60,California,Sacramento,CaliforniaSacramento,200,100,52,22.4,30.9,641624,65558,737742,772281,36.0,1510023,2460,Sacramento,California,536614.0,186311.0,338632.0,60239.0,475.0,38.4,19.6,24.8,7.9,9.3,5.5,26.9
61,California,Shasta,CaliforniaShasta,166,64,41,25.4,22.2,66484,6343,87859,91226,41.8,179085,2557,Shasta,California,88761.0,57894.0,28889.0,47258.0,1104.0,31.7,21.9,26.3,10.5,9.5,5.8,19.9
62,California,Siskiyou,CaliforniaSiskiyou,359,61,36,25.5,23.2,15286,1637,21706,21834,48.0,43540,2592,Siskiyou,California,22991.0,12985.0,9456.0,40884.0,1957.0,32.9,21.3,21.9,14.4,9.5,8.9,18.9
63,California,Solano,CaliforniaSolano,204,76,41,23.8,26.9,183607,19205,217931,220599,37.9,438530,2604,Solano,California,201864.0,67793.0,129344.0,72950.0,1244.0,32.7,20.4,24.2,10.5,12.2,4.1,31.8
64,California,Sonoma,CaliforniaSonoma,187,53,33,18.7,35.5,225791,19300,245196,256121,41.7,501317,2610,Sonoma,California,197603.0,40478.0,153342.0,71769.0,1046.0,37.2,20.0,22.4,10.6,9.8,6.9,25.2
65,California,Stanislaus,CaliforniaStanislaus,189,102,55,29.3,17.1,214885,25756,266844,272457,34.0,539301,2647,Stanislaus,California,195857.0,94152.0,97430.0,54260.0,976.0,27.2,18.0,23.8,14.4,16.7,4.6,28.2
66,California,Sutter,CaliforniaSutter,303,89,48,23.3,18.2,40472,4995,47789,48083,35.7,95872,2713,Sutter,California,41694.0,23864.0,16961.0,54347.0,2000.0,29.6,19.1,22.3,16.5,12.5,4.6,26.4
67,California,Tehama,CaliforniaTehama,196,93,43,30.1,15.7,23317,2262,31504,31869,40.9,63373,2744,Tehama,California,25005.0,16346.0,8105.0,42512.0,2803.0,23.7,22.1,23.6,14.3,16.3,4.7,23.5
68,California,Trinity,CaliforniaTrinity,193,79,27,34.8,19.5,4155,360,6582,6280,51.8,12862,2797,Trinity,California,5095.0,2513.0,2383.0,36563.0,5946.0,30.3,27.6,21.1,9.1,11.8,15.1,17.4
69,California,Tulare,CaliforniaTulare,209,145,79,25.5,14.6,172852,26299,230255,230222,30.8,460477,2804,Tulare,California,142819.0,75471.0,64320.0,44871.0,1286.0,25.0,18.1,20.2,22.6,14.2,3.1,22.5
70,California,Tuolumne,CaliforniaTuolumne,143,64,41,28.3,20.5,17954,2084,28102,25830,48.4,53932,2807,Tuolumne,California,29820.0,17302.0,11808.0,54325.0,2700.0,32.8,25.6,21.2,11.7,8.7,6.5,27.0
71,California,Ventura,CaliforniaVentura,174,90,47,19.2,33.8,373903,34964,419588,428524,37.9,848112,2861,Ventura,California,417057.0,159791.0,248349.0,81972.0,983.0,37.8,17.1,23.3,11.7,10.0,5.7,26.6
72,California,Yolo,CaliforniaYolo,192,84,42,18.1,41.4,97111,7915,104375,110602,31.0,214977,3098,Yolo,California,64934.0,16128.0,47504.0,61621.0,1733.0,44.2,18.7,18.8,9.0,9.3,5.0,23.2
73,Colorado,Adams,ColoradoAdams,151,72,47,28.6,24.3,252469,22029,250704,246411,33.6,497115,8,Adams,Colorado,234599.0,94874.0,132951.0,64087.0,991.0,29.8,18.9,24.1,13.7,13.5,5.0,29.2
74,Colorado,Alamosa,ColoradoAlamosa,60,30,11,28.5,25.0,7868,535,8242,8202,30.4,16444,26,Alamosa,Colorado,7519.0,3676.0,3624.0,36315.0,4688.0,30.6,22.6,22.3,13.1,11.4,2.9,14.6
75,Colorado,Arapahoe,ColoradoArapahoe,159,76,45,20.8,42.8,337943,28825,314672,321999,36.5,636671,75,Arapahoe,Colorado,346740.0,126124.0,211498.0,69553.0,846.0,41.4,16.7,25.0,7.9,9.0,6.8,27.7
76,Colorado,Archuleta,ColoradoArchuleta,93,58,43,21.0,37.2,6585,538,6546,6362,50.6,12908,77,Archuleta,Colorado,9030.0,5126.0,3693.0,48016.0,5197.0,37.3,17.0,20.0,16.5,9.2,9.7,17.2
77,Colorado,Boulder,ColoradoBoulder,173,84,47,11.7,62.1,180992,11887,161355,159675,36.2,321030,240,Boulder,Colorado,193656.0,39289.0,150247.0,75669.0,1234.0,53.2,15.6,19.4,5.0,6.7,11.8,22.7
78,Colorado,Clear Creek,ColoradoClear,143,71,47,21.9,48.1,5628,523,4816,4563,47.8,9379,553,Clear,Colorado,6290.0,2618.0,3495.0,68534.0,4776.0,37.5,17.8,24.2,12.9,7.6,14.9,30.3
79,Colorado,Delta,ColoradoDelta,97,51,41,38.3,21.7,13400,940,15235,15111,47.6,30346,758,Delta,Colorado,19272.0,13013.0,5862.0,42487.0,4104.0,34.5,19.7,17.7,17.7,10.5,8.0,24.3
80,Colorado,Denver,ColoradoDenver,150,80,50,16.8,49.4,388924,34900,347188,346229,34.4,693417,763,Denver,Colorado,393529.0,71543.0,313090.0,60098.0,950.0,46.1,16.8,21.5,7.9,7.7,7.6,25.3
81,Colorado,Douglas,ColoradoDouglas,159,80,46,12.0,58.0,183412,11237,163766,164848,38.4,328614,799,Douglas,Colorado,230478.0,120661.0,104199.0,111154.0,1484.0,53.7,11.6,25.0,4.6,5.0,11.0,27.6
82,Colorado,El Paso,ColoradoEl,151,74,45,20.4,38.5,319084,25036,347478,340675,34.1,688153,850,El,Colorado,375058.0,200968.0,160265.0,62535.0,844.0,40.8,18.4,23.9,8.4,8.4,6.3,23.0
83,Colorado,Fremont,ColoradoFremont,27,20,11,39.3,18.5,14203,1190,27324,19678,44.9,47002,976,Fremont,Colorado,25058.0,17231.0,7170.0,44712.0,1951.0,30.8,25.7,23.7,12.7,7.2,4.3,22.7
84,Colorado,Garfield,ColoradoGarfield,122,74,46,27.0,31.0,29606,2156,29779,28759,36.3,58538,1002,Garfield,Colorado,30216.0,14404.0,15070.0,66503.0,2244.0,32.1,19.6,21.0,17.3,10.0,6.8,31.6
85,Colorado,Gilpin,ColoradoGilpin,136,67,45,21.4,39.6,3562,454,3169,2755,45.7,5924,1035,Gilpin,Colorado,4143.0,1815.0,2199.0,72544.0,5648.0,44.4,23.1,16.9,6.7,8.9,13.6,36.6
86,Colorado,Gunnison,ColoradoGunnison,108,54,44,15.9,56.2,10596,751,8983,7554,34.5,16537,1135,Gunnison,Colorado,10887.0,3599.0,6976.0,52651.0,4811.0,33.2,23.1,19.1,16.3,8.3,3.9,14.2
87,Colorado,Jackson,ColoradoJackson,84,46,8,28.1,20.0,900,40,631,665,50.9,1296,1353,Jackson,Colorado,873.0,680.0,173.0,45994.0,4071.0,30.6,15.3,16.8,28.4,8.9,16.5,28.9
88,Colorado,Jefferson,ColoradoJefferson,161,90,46,20.3,45.2,310057,23625,283919,286508,40.4,570427,1389,Jefferson,Colorado,376915.0,148227.0,218166.0,75170.0,854.0,45.6,14.9,24.5,7.6,7.5,7.8,27.5
89,Colorado,La Plata,ColoradoLa,101,61,44,20.0,44.2,29219,2147,27790,27311,39.9,55101,1524,La,Colorado,35524.0,14194.0,20450.0,62533.0,2438.0,40.1,18.4,22.6,11.2,7.6,6.8,21.4
90,Colorado,Larimer,ColoradoLarimer,157,87,48,19.0,47.3,190842,12841,168615,169546,35.9,338161,1573,Larimer,Colorado,223653.0,91197.0,125765.0,64980.0,1414.0,43.4,17.4,22.5,8.1,8.6,7.5,22.8
