County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
St.Clair,Michigan,MichiganSt.Clair,79300,80266,43.5,159566
St.Joseph,Michigan,MichiganSt.Joseph,30259,30638,39.7,60897
Sanilac,Michigan,MichiganSanilac,20534,20842,45.1,41376
Schoolcraft,Michigan,MichiganSchoolcraft,3984,4085,51.6,8069
Shiawassee,Michigan,MichiganShiawassee,33801,34692,42.4,68493
Tuscola,Michigan,MichiganTuscola,26732,26518,44.4,53250
Van,Michigan,MichiganVan,37429,37843,41.6,75272
Washtenaw,Michigan,MichiganWashtenaw,181376,184585,33.4,365961
Wayne,Michigan,MichiganWayne,847648,913734,37.9,1761382
Wexford,Michigan,MichiganWexford,16567,16544,41.8,33111
Aitkin,Minnesota,MinnesotaAitkin,8053,7781,55.1,15834
Anoka,Minnesota,MinnesotaAnoka,173811,173620,38.4,347431
Becker,Minnesota,MinnesotaBecker,16783,16990,41.8,33773
Beltrami,Minnesota,MinnesotaBeltrami,22906,23211,33.7,46117
Benton,Minnesota,MinnesotaBenton,19894,19885,35.6,39779
Big,Minnesota,MinnesotaBig,2477,2539,48.9,5016
Blue,Minnesota,MinnesotaBlue,33323,32999,30.7,66322
Brown,Minnesota,MinnesotaBrown,12653,12558,42.1,25211
Carlton,Minnesota,MinnesotaCarlton,18565,16975,40.7,35540
Carver,Minnesota,MinnesotaCarver,49793,50623,37.5,100416
Cass,Minnesota,MinnesotaCass,14798,14224,48.9,29022
Chippewa,Minnesota,MinnesotaChippewa,5959,6051,41.6,12010
Chisago,Minnesota,MinnesotaChisago,28333,26394,41,54727
Clay,Minnesota,MinnesotaClay,31010,31791,32.5,62801
Clearwater,Minnesota,MinnesotaClearwater,4504,4308,42.7,8812
Cook,Minnesota,MinnesotaCook,2632,2679,52.3,5311
Cottonwood,Minnesota,MinnesotaCottonwood,5662,5710,42.6,11372
Crow,Minnesota,MinnesotaCrow,31966,31889,44.3,63855
Dakota,Minnesota,MinnesotaDakota,205909,212292,37.8,418201
Dodge,Minnesota,MinnesotaDodge,10334,10248,38.3,20582
Douglas,Minnesota,MinnesotaDouglas,18607,18596,44.1,37203
Faribault,Minnesota,MinnesotaFaribault,6949,6947,46.1,13896
Fillmore,Minnesota,MinnesotaFillmore,10491,10397,42.4,20888
Freeborn,Minnesota,MinnesotaFreeborn,15217,15309,44.2,30526
Goodhue,Minnesota,MinnesotaGoodhue,23093,23124,42.5,46217
Grant,Minnesota,MinnesotaGrant,3020,2918,45.2,5938
Hennepin,Minnesota,MinnesotaHennepin,610530,624948,36.4,1235478
Houston,Minnesota,MinnesotaHouston,9349,9314,45.2,18663
Hubbard,Minnesota,MinnesotaHubbard,10550,10312,48.6,20862
Isanti,Minnesota,MinnesotaIsanti,19720,19254,39.8,38974
Itasca,Minnesota,MinnesotaItasca,22913,22290,46.1,45203
Jackson,Minnesota,MinnesotaJackson,5069,4978,44.3,10047
Kanabec,Minnesota,MinnesotaKanabec,8133,7871,44.8,16004
Kandiyohi,Minnesota,MinnesotaKandiyohi,21430,21228,39.1,42658
Kittson,Minnesota,MinnesotaKittson,2199,2138,47.3,4337
Koochiching,Minnesota,MinnesotaKoochiching,6327,6317,49.2,12644
Lac,Minnesota,MinnesotaLac,3377,3396,50.4,6773
Lake,Minnesota,MinnesotaLake,5428,5141,50.4,10569
Lake,Minnesota,MinnesotaLake,2037,1772,51.3,3809
Le,Minnesota,MinnesotaLe,14106,13877,41.2,27983
Lincoln,Minnesota,MinnesotaLincoln,2855,2852,45.8,5707
Lyon,Minnesota,MinnesotaLyon,12788,13051,35.5,25839
McLeod,Minnesota,MinnesotaMcLeod,17922,17903,40.6,35825
Mahnomen,Minnesota,MinnesotaMahnomen,2728,2778,35.9,5506
Marshall,Minnesota,MinnesotaMarshall,4761,4631,43.8,9392
Martin,Minnesota,MinnesotaMartin,10068,9896,45.3,19964
Meeker,Minnesota,MinnesotaMeeker,11727,11352,42.5,23079
Mille,Minnesota,MinnesotaMille,12866,12862,40.4,25728
Morrison,Minnesota,MinnesotaMorrison,16639,16310,42.1,32949
Mower,Minnesota,MinnesotaMower,20045,19557,39.1,39602
Murray,Minnesota,MinnesotaMurray,4170,4183,48.1,8353
Nicollet,Minnesota,MinnesotaNicollet,16937,16846,36.3,33783
Nobles,Minnesota,MinnesotaNobles,11236,10603,35.7,21839
Norman,Minnesota,MinnesotaNorman,3324,3235,44.2,6559
Olmsted,Minnesota,MinnesotaOlmsted,74836,78229,37.2,153065
Otter,Minnesota,MinnesotaOtter,29263,28729,46.7,57992
Pennington,Minnesota,MinnesotaPennington,7054,7130,39.8,14184
Pine,Minnesota,MinnesotaPine,15648,13481,44.5,29129
Pipestone,Minnesota,MinnesotaPipestone,4441,4744,42.2,9185
Polk,Minnesota,MinnesotaPolk,15967,15624,38.7,31591
Pope,Minnesota,MinnesotaPope,5562,5418,45.9,10980
Ramsey,Minnesota,MinnesotaRamsey,263843,277650,34.9,541493
Red,Minnesota,MinnesotaRed,2034,1974,42.5,4008
Redwood,Minnesota,MinnesotaRedwood,7719,7612,43.1,15331
Renville,Minnesota,MinnesotaRenville,7495,7226,44.3,14721
Rice,Minnesota,MinnesotaRice,33580,32185,36.5,65765
Rock,Minnesota,MinnesotaRock,4625,4788,40.9,9413
Roseau,Minnesota,MinnesotaRoseau,8003,7459,41.4,15462
St.Louis,Minnesota,MinnesotaSt.Louis,100487,99593,41.1,200080
Scott,Minnesota,MinnesotaScott,71406,71966,36.1,143372
Sherburne,Minnesota,MinnesotaSherburne,47673,45558,35.8,93231
Sibley,Minnesota,MinnesotaSibley,7570,7342,41.6,14912
Stearns,Minnesota,MinnesotaStearns,78931,77888,34.3,156819
Steele,Minnesota,MinnesotaSteele,18171,18505,38.9,36676
Stevens,Minnesota,MinnesotaStevens,4910,4874,33.3,9784
Swift,Minnesota,MinnesotaSwift,4726,4685,44,9411
Todd,Minnesota,MinnesotaTodd,12563,11877,44,24440
Traverse,Minnesota,MinnesotaTraverse,1644,1693,48.4,3337
Wabasha,Minnesota,MinnesotaWabasha,10779,10721,45.2,21500
Wadena,Minnesota,MinnesotaWadena,6727,6919,41.5,13646
Waseca,Minnesota,MinnesotaWaseca,9000,9809,40.2,18809
Washington,Minnesota,MinnesotaWashington,125332,127985,39.3,253317
Watonwan,Minnesota,MinnesotaWatonwan,5408,5565,40.9,10973
Wilkin,Minnesota,MinnesotaWilkin,3215,3128,44.4,6343
Winona,Minnesota,MinnesotaWinona,25191,25656,34.8,50847
Wright,Minnesota,MinnesotaWright,66913,65832,36.6,132745
Yellow,Minnesota,MinnesotaYellow,5056,4812,42.3,9868
Adams,Mississippi,MississippiAdams,16217,15330,41,31547
Alcorn,Mississippi,MississippiAlcorn,18287,18893,39.7,37180
Amite,Mississippi,MississippiAmite,6007,6461,46.5,12468
Attala,Mississippi,MississippiAttala,8826,9755,39.7,18581
Benton,Mississippi,MississippiBenton,4122,4131,40.4,8253
Bolivar,Mississippi,MississippiBolivar,15365,17227,35.2,32592
Calhoun,Mississippi,MississippiCalhoun,6991,7580,40.8,14571
Carroll,Mississippi,MississippiCarroll,5116,5013,47,10129
Chickasaw,Mississippi,MississippiChickasaw,8331,8948,36.8,17279
Choctaw,Mississippi,MississippiChoctaw,4174,4147,44,8321
Claiborne,Mississippi,MississippiClaiborne,4312,4808,33.7,9120
Clarke,Mississippi,MississippiClarke,7443,8485,42.1,15928
Clay,Mississippi,MississippiClay,9177,10631,39.5,19808
Coahoma,Mississippi,MississippiCoahoma,11006,12796,34.2,23802
Copiah,Mississippi,MississippiCopiah,13704,15017,38.2,28721
Covington,Mississippi,MississippiCovington,9252,9839,37.7,19091
DeSoto,Mississippi,MississippiDeSoto,85174,90958,36.7,176132
Forrest,Mississippi,MississippiForrest,35944,39573,32.4,75517
Franklin,Mississippi,MississippiFranklin,3706,4051,42.1,7757
George,Mississippi,MississippiGeorge,12008,11702,36.3,23710
Greene,Mississippi,MississippiGreene,8294,5420,39.1,13714
Grenada,Mississippi,MississippiGrenada,10103,11175,39.8,21278
Hancock,Mississippi,MississippiHancock,22779,23874,44,46653
Harrison,Mississippi,MississippiHarrison,99750,102876,36,202626
Hinds,Mississippi,MississippiHinds,112877,128897,34.4,241774
Holmes,Mississippi,MississippiHolmes,8635,9440,35.1,18075
Humphreys,Mississippi,MississippiHumphreys,3990,4549,38,8539
Issaquena,Mississippi,MississippiIssaquena,807,521,40.1,1328
Itawamba,Mississippi,MississippiItawamba,11821,11659,40,23480
Jackson,Mississippi,MississippiJackson,70065,71949,38.8,142014
Jasper,Mississippi,MississippiJasper,8048,8481,40.6,16529
Jefferson,Mississippi,MississippiJefferson,3642,3704,39.3,7346
Jefferson,Mississippi,MississippiJefferson,5543,5952,44.3,11495
Jones,Mississippi,MississippiJones,33352,35102,37.2,68454
Kemper,Mississippi,MississippiKemper,5170,4937,41.8,10107
Lafayette,Mississippi,MississippiLafayette,25974,27485,29.9,53459
Lamar,Mississippi,MississippiLamar,29243,31980,35.4,61223
Lauderdale,Mississippi,MississippiLauderdale,37617,39706,37.8,77323
Lawrence,Mississippi,MississippiLawrence,6130,6500,40.3,12630
Leake,Mississippi,MississippiLeake,11533,11337,36.6,22870
Lee,Mississippi,MississippiLee,40526,44389,37.2,84915
Leflore,Mississippi,MississippiLeflore,13916,15888,33.8,29804
Lincoln,Mississippi,MississippiLincoln,16255,18177,38.6,34432
Lowndes,Mississippi,MississippiLowndes,28365,31072,37.1,59437
Madison,Mississippi,MississippiMadison,49524,53974,37,103498
Marion,Mississippi,MississippiMarion,12230,12972,40.4,25202
Marshall,Mississippi,MississippiMarshall,17736,18051,40.2,35787
Monroe,Mississippi,MississippiMonroe,17107,18733,41.2,35840
Montgomery,Mississippi,MississippiMontgomery,4769,5429,42.1,10198
Neshoba,Mississippi,MississippiNeshoba,13988,15388,36.8,29376
Newton,Mississippi,MississippiNewton,10142,11382,36.6,21524
Noxubee,Mississippi,MississippiNoxubee,5127,5701,36.4,10828
Oktibbeha,Mississippi,MississippiOktibbeha,24863,24618,25.8,49481
Panola,Mississippi,MississippiPanola,16549,17694,37.8,34243
Pearl,Mississippi,MississippiPearl,27263,27886,40.9,55149
Perry,Mississippi,MississippiPerry,5845,6183,40.9,12028
Pike,Mississippi,MississippiPike,18836,20901,37.3,39737
Pontotoc,Mississippi,MississippiPontotoc,15304,16011,36.4,31315
Prentiss,Mississippi,MississippiPrentiss,12304,13056,39,25360
Quitman,Mississippi,MississippiQuitman,3476,3896,38.4,7372
Rankin,Mississippi,MississippiRankin,73041,78199,37.4,151240
Scott,Mississippi,MississippiScott,13870,14545,36.5,28415
Sharkey,Mississippi,MississippiSharkey,2147,2364,42.1,4511
Simpson,Mississippi,MississippiSimpson,13115,13958,39.2,27073
Smith,Mississippi,MississippiSmith,7847,8216,40.1,16063
Stone,Mississippi,MississippiStone,9367,9008,37.5,18375
Sunflower,Mississippi,MississippiSunflower,13927,12605,35.3,26532
Tallahatchie,Mississippi,MississippiTallahatchie,8012,6349,34.6,14361
Tate,Mississippi,MississippiTate,13828,14665,37.6,28493
Tippah,Mississippi,MississippiTippah,10673,11317,39.4,21990
Tishomingo,Mississippi,MississippiTishomingo,9491,9987,42.3,19478
Tunica,Mississippi,MississippiTunica,4659,5511,33.9,10170
Union,Mississippi,MississippiUnion,13942,14414,38.2,28356
Walthall,Mississippi,MississippiWalthall,7108,7493,39.9,14601
Warren,Mississippi,MississippiWarren,22428,24647,38.8,47075
Washington,Mississippi,MississippiWashington,22018,25068,36.9,47086
Wayne,Mississippi,MississippiWayne,10072,10350,38,20422
Webster,Mississippi,MississippiWebster,4788,5040,39.8,9828
Wilkinson,Mississippi,MississippiWilkinson,4816,4174,37.5,8990
Winston,Mississippi,MississippiWinston,8942,9416,41.6,18358
Yalobusha,Mississippi,MississippiYalobusha,6085,6336,42.6,12421
Yazoo,Mississippi,MississippiYazoo,15543,12431,35.7,27974
Adair,Missouri,MissouriAdair,12215,13110,27.7,25325
Andrew,Missouri,MissouriAndrew,8720,8683,42.4,17403
Atchison,Missouri,MissouriAtchison,2615,2655,48.3,5270
Audrain,Missouri,MissouriAudrain,11768,13967,39.7,25735
Barry,Missouri,MissouriBarry,17823,17670,43.5,35493
Barton,Missouri,MissouriBarton,5865,5985,41.4,11850
Bates,Missouri,MissouriBates,8014,8360,41.8,16374
Benton,Missouri,MissouriBenton,9354,9635,53.3,18989
Bollinger,Missouri,MissouriBollinger,6140,6141,44.1,12281
Boone,Missouri,MissouriBoone,85827,90688,30.8,176515
Buchanan,Missouri,MissouriBuchanan,44691,44385,37.4,89076
Butler,Missouri,MissouriButler,20823,21910,40.1,42733
Caldwell,Missouri,MissouriCaldwell,4585,4464,42.6,9049
Callaway,Missouri,MissouriCallaway,22874,21966,38.6,44840
Camden,Missouri,MissouriCamden,22328,22768,51.1,45096
Cape,Missouri,MissouriCape,37932,40392,36.6,78324
Carroll,Missouri,MissouriCarroll,4330,4513,43.1,8843
Carter,Missouri,MissouriCarter,3010,3187,41,6197
Cass,Missouri,MissouriCass,50364,52314,39.8,102678
Cedar,Missouri,MissouriCedar,6961,6977,44.3,13938
Chariton,Missouri,MissouriChariton,3764,3782,45.5,7546
Christian,Missouri,MissouriChristian,40995,43280,37.9,84275
Clark,Missouri,MissouriClark,3447,3353,43.9,6800
Clay,Missouri,MissouriClay,117296,121868,37.1,239164
Clinton,Missouri,MissouriClinton,10266,10209,40.7,20475
Cole,Missouri,MissouriCole,38731,38009,38.5,76740
Cooper,Missouri,MissouriCooper,9214,8408,39,17622
Crawford,Missouri,MissouriCrawford,11969,12311,41.7,24280
Dade,Missouri,MissouriDade,3884,3706,46.4,7590
Dallas,Missouri,MissouriDallas,8212,8287,43.5,16499
Daviess,Missouri,MissouriDaviess,4187,4115,40.5,8302
DeKalb,Missouri,MissouriDeKalb,7947,4617,40.2,12564
Dent,Missouri,MissouriDent,7692,7812,44.4,15504
Douglas,Missouri,MissouriDouglas,6700,6674,47.6,13374
Dunklin,Missouri,MissouriDunklin,14623,15805,39.9,30428
Franklin,Missouri,MissouriFranklin,51339,51442,40.8,102781
Gasconade,Missouri,MissouriGasconade,7373,7373,45.8,14746
Gentry,Missouri,MissouriGentry,3218,3447,41.5,6665
Greene,Missouri,MissouriGreene,140366,148063,36,288429
Grundy,Missouri,MissouriGrundy,4906,5133,40.8,10039
Harrison,Missouri,MissouriHarrison,4263,4291,43,8554
Henry,Missouri,MissouriHenry,10643,11122,44.2,21765
Hickory,Missouri,MissouriHickory,4551,4817,55,9368
Holt,Missouri,MissouriHolt,2197,2259,48.4,4456
Howard,Missouri,MissouriHoward,5042,5071,39.3,10113
Howell,Missouri,MissouriHowell,19640,20462,40.6,40102
Iron,Missouri,MissouriIron,5029,5192,45.4,10221
Jackson,Missouri,MissouriJackson,334604,357399,36.7,692003
Jasper,Missouri,MissouriJasper,58223,61015,36,119238
Jefferson,Missouri,MissouriJefferson,110887,112415,39,223302
Johnson,Missouri,MissouriJohnson,27715,25974,30.1,53689
Knox,Missouri,MissouriKnox,1989,1962,44,3951
Laclede,Missouri,MissouriLaclede,17578,17929,40.4,35507
Lafayette,Missouri,MissouriLafayette,16106,16483,42.3,32589
Lawrence,Missouri,MissouriLawrence,18995,19138,39.6,38133
Lewis,Missouri,MissouriLewis,5100,4927,40.3,10027
Lincoln,Missouri,MissouriLincoln,27526,28037,37,55563
Linn,Missouri,MissouriLinn,5861,6325,42.1,12186
Livingston,Missouri,MissouriLivingston,6813,8263,40.3,15076
McDonald,Missouri,MissouriMcDonald,11635,11192,38.3,22827
Macon,Missouri,MissouriMacon,7683,7571,43.3,15254
Madison,Missouri,MissouriMadison,6049,6156,42.1,12205
Maries,Missouri,MissouriMaries,4449,4435,45,8884
Marion,Missouri,MissouriMarion,13745,14927,39.1,28672
Mercer,Missouri,MissouriMercer,1834,1830,43,3664
Miller,Missouri,MissouriMiller,12314,12735,40.8,25049
Mississippi,Missouri,MissouriMississippi,7575,6173,40.4,13748
Moniteau,Missouri,MissouriMoniteau,8413,7545,37.9,15958
Monroe,Missouri,MissouriMonroe,4402,4252,45.4,8654
Montgomery,Missouri,MissouriMontgomery,5764,5781,44,11545
Morgan,Missouri,MissouriMorgan,9945,10192,46.1,20137
New,Missouri,MissouriNew,8558,9253,41.7,17811
Newton,Missouri,MissouriNewton,28964,29238,39.7,58202
Nodaway,Missouri,MissouriNodaway,11225,11322,29.2,22547
Oregon,Missouri,MissouriOregon,5376,5323,46.8,10699
Osage,Missouri,MissouriOsage,7076,6543,40.3,13619
Ozark,Missouri,MissouriOzark,4592,4644,51.3,9236
Pemiscot,Missouri,MissouriPemiscot,8022,9009,37.8,17031
Perry,Missouri,MissouriPerry,9457,9689,40.6,19146
Pettis,Missouri,MissouriPettis,20918,21453,37.9,42371
Phelps,Missouri,MissouriPhelps,23541,21248,35.2,44789
Pike,Missouri,MissouriPike,10217,8272,39.1,18489
Platte,Missouri,MissouriPlatte,48720,50104,38.3,98824
Polk,Missouri,MissouriPolk,15435,16114,37.5,31549
Pulaski,Missouri,MissouriPulaski,30025,22566,27.7,52591
Putnam,Missouri,MissouriPutnam,2389,2426,46.4,4815
Ralls,Missouri,MissouriRalls,5178,5039,45,10217
Randolph,Missouri,MissouriRandolph,13102,11843,39.1,24945
Ray,Missouri,MissouriRay,11357,11468,41.8,22825
Reynolds,Missouri,MissouriReynolds,3238,3077,46.1,6315
Ripley,Missouri,MissouriRipley,6817,6876,42.7,13693
St.Charles,Missouri,MissouriSt.Charles,191641,198344,38.2,389985
St.Clair,Missouri,MissouriSt.Clair,4663,4720,49.9,9383
Ste.,Missouri,MissouriSte.,8979,8892,43.4,17871
St.Francois,Missouri,MissouriSt.Francois,35900,30442,39.6,66342
St.Louis,Missouri,MissouriSt.Louis,473610,525074,40.3,998684
Saline,Missouri,MissouriSaline,11559,11543,38,23102
Schuyler,Missouri,MissouriSchuyler,2219,2283,39.3,4502
Scotland,Missouri,MissouriScotland,2399,2499,37.5,4898
Scott,Missouri,MissouriScott,18712,20017,39.9,38729
Shannon,Missouri,MissouriShannon,4012,4234,45.1,8246
Shelby,Missouri,MissouriShelby,3047,3014,41.5,6061
Stoddard,Missouri,MissouriStoddard,14365,15147,41.4,29512
Stone,Missouri,MissouriStone,15409,16118,53.3,31527
Sullivan,Missouri,MissouriSullivan,3052,3265,42.6,6317
Taney,Missouri,MissouriTaney,26504,28216,42.1,54720
Texas,Missouri,MissouriTexas,13397,12274,42.7,25671
Vernon,Missouri,MissouriVernon,10088,10603,40.9,20691
Warren,Missouri,MissouriWarren,16714,17194,40.1,33908
Washington,Missouri,MissouriWashington,12835,12096,40.7,24931
Wayne,Missouri,MissouriWayne,6544,6764,47.3,13308
Webster,Missouri,MissouriWebster,19436,18646,37.1,38082
Worth,Missouri,MissouriWorth,981,1059,47.9,2040
Wright,Missouri,MissouriWright,9029,9264,42,18293
St.Louis,Missouri,MissouriSt.Louis,150532,160741,35.5,311273
Beaverhead,Montana,MontanaBeaverhead,4748,4645,42.1,9393
Big,Montana,MontanaBig,6572,6804,30.8,13376
Blaine,Montana,MontanaBlaine,3368,3359,33.8,6727
Broadwater,Montana,MontanaBroadwater,2975,2859,46.9,5834
Carbon,Montana,MontanaCarbon,5317,5229,50.3,10546
Carter,Montana,MontanaCarter,649,669,50.5,1318
Cascade,Montana,MontanaCascade,41269,40477,38.2,81746
Chouteau,Montana,MontanaChouteau,2839,2950,40.9,5789
Custer,Montana,MontanaCuster,5955,5890,40.7,11845
Daniels,Montana,MontanaDaniels,884,869,50.7,1753
Dawson,Montana,MontanaDawson,4877,4314,40.5,9191
Deer,Montana,MontanaDeer,4835,4265,48.5,9100
Fallon,Montana,MontanaFallon,1472,1366,39.3,2838
Fergus,Montana,MontanaFergus,5682,5591,46,11273
Flathead,Montana,MontanaFlathead,48823,49259,42.1,98082
Gallatin,Montana,MontanaGallatin,54246,50483,33.5,104729
Garfield,Montana,MontanaGarfield,605,536,43.2,1141
Glacier,Montana,MontanaGlacier,6855,6844,31.4,13699
Golden,Montana,MontanaGolden,355,369,56,724
Granite,Montana,MontanaGranite,1696,1573,54.3,3269
Hill,Montana,MontanaHill,8292,8147,34.5,16439
Jefferson,Montana,MontanaJefferson,5979,5799,47.9,11778
Judith,Montana,MontanaJudith,1058,893,52.2,1951
Lake,Montana,MontanaLake,14744,15030,42.3,29774
Lewis,Montana,MontanaLewis,33186,33891,41,67077
Liberty,Montana,MontanaLiberty,1146,1134,49.1,2280
Lincoln,Montana,MontanaLincoln,9678,9680,52.6,19358
McCone,Montana,MontanaMcCone,828,802,50.1,1630
Madison,Montana,MontanaMadison,4261,3957,52.6,8218
Meagher,Montana,MontanaMeagher,966,1002,45.9,1968
Mineral,Montana,MontanaMineral,2135,2076,52.6,4211
Missoula,Montana,MontanaMissoula,58372,57611,35.6,115983
Musselshell,Montana,MontanaMusselshell,2399,2408,48,4807
Park,Montana,MontanaPark,8164,8082,46.2,16246
Petroleum,Montana,MontanaPetroleum,229,203,52.1,432
Phillips,Montana,MontanaPhillips,2101,2023,47.2,4124
Pondera,Montana,MontanaPondera,3003,3041,40.5,6044
Powder,Montana,MontanaPowder,820,799,53,1619
Powell,Montana,MontanaPowell,4310,2551,45.3,6861
Prairie,Montana,MontanaPrairie,673,669,51.8,1342
Ravalli,Montana,MontanaRavalli,20822,21080,48.8,41902
Richland,Montana,MontanaRichland,5740,5620,38.9,11360
Roosevelt,Montana,MontanaRoosevelt,5559,5669,30.3,11228
Rosebud,Montana,MontanaRosebud,4608,4642,36.4,9250
Sanders,Montana,MontanaSanders,5935,5586,53.2,11521
Sheridan,Montana,MontanaSheridan,1794,1780,44.9,3574
Silver,Montana,MontanaSilver,17588,17226,39.8,34814
Stillwater,Montana,MontanaStillwater,4693,4717,46.6,9410
Sweet,Montana,MontanaSweet,1770,1883,51.5,3653
Teton,Montana,MontanaTeton,2994,3086,44.6,6080
Toole,Montana,MontanaToole,2824,2152,41.2,4976
Treasure,Montana,MontanaTreasure,384,393,52.1,777
Valley,Montana,MontanaValley,3730,3802,44.4,7532
Wheatland,Montana,MontanaWheatland,1079,1070,40.4,2149
Wibaux,Montana,MontanaWibaux,561,614,46,1175
Yellowstone,Montana,MontanaYellowstone,77773,80043,38.2,157816
Adams,Nebraska,NebraskaAdams,15947,15636,37.4,31583
Antelope,Nebraska,NebraskaAntelope,3204,3168,45.3,6372
Arthur,Nebraska,NebraskaArthur,205,213,47.1,418
Banner,Nebraska,NebraskaBanner,346,350,48.5,696
Blaine,Nebraska,NebraskaBlaine,246,234,46.6,480
Boone,Nebraska,NebraskaBoone,2641,2672,44.6,5313
Box,Nebraska,NebraskaBox,5472,5617,40.7,11089
Boyd,Nebraska,NebraskaBoyd,1028,1014,52.3,2042
Brown,Nebraska,NebraskaBrown,1430,1558,51.1,2988
Buffalo,Nebraska,NebraskaBuffalo,24593,24437,33.3,49030
Burt,Nebraska,NebraskaBurt,3209,3319,46.2,6528
Butler,Nebraska,NebraskaButler,4056,4011,43.9,8067
Cass,Nebraska,NebraskaCass,12929,12773,41.6,25702
Cedar,Nebraska,NebraskaCedar,4329,4194,43.6,8523
Chase,Nebraska,NebraskaChase,1865,1869,45.6,3734
Cherry,Nebraska,NebraskaCherry,2847,2943,43.6,5790
Cheyenne,Nebraska,NebraskaCheyenne,4903,4949,41,9852
Clay,Nebraska,NebraskaClay,3165,3067,42.5,6232
Colfax,Nebraska,NebraskaColfax,5870,4890,34.3,10760
Cuming,Nebraska,NebraskaCuming,4505,4486,43.6,8991
Custer,Nebraska,NebraskaCuster,5366,5464,43.2,10830
Dakota,Nebraska,NebraskaDakota,10219,10098,33.8,20317
Dawes,Nebraska,NebraskaDawes,4571,4325,34.9,8896
Dawson,Nebraska,NebraskaDawson,12241,11563,35.9,23804
Deuel,Nebraska,NebraskaDeuel,892,1002,47,1894
Dixon,Nebraska,NebraskaDixon,2884,2862,42,5746
Dodge,Nebraska,NebraskaDodge,18126,18557,39,36683
Douglas,Nebraska,NebraskaDouglas,273743,281249,34.5,554992
Dundy,Nebraska,NebraskaDundy,1013,1010,42.3,2023
Fillmore,Nebraska,NebraskaFillmore,2782,2792,47.7,5574
Franklin,Nebraska,NebraskaFranklin,1490,1516,50.7,3006
Frontier,Nebraska,NebraskaFrontier,1326,1283,45.5,2609
Furnas,Nebraska,NebraskaFurnas,2349,2437,46.5,4786
Gage,Nebraska,NebraskaGage,10826,10769,44,21595
Garden,Nebraska,NebraskaGarden,937,923,50.3,1860
Garfield,Nebraska,NebraskaGarfield,969,1006,51.4,1975
Gosper,Nebraska,NebraskaGosper,1000,1015,50.4,2015
Grant,Nebraska,NebraskaGrant,380,338,45.3,718
Greeley,Nebraska,NebraskaGreeley,1207,1203,45.7,2410
Hall,Nebraska,NebraskaHall,30830,30513,36,61343
Hamilton,Nebraska,NebraskaHamilton,4564,4614,41.5,9178
Harlan,Nebraska,NebraskaHarlan,1781,1657,47.9,3438
Hayes,Nebraska,NebraskaHayes,495,448,44.4,943
Hitchcock,Nebraska,NebraskaHitchcock,1414,1429,46.8,2843
Holt,Nebraska,NebraskaHolt,5142,5103,43.2,10245
Hooker,Nebraska,NebraskaHooker,324,367,55.9,691
Howard,Nebraska,NebraskaHoward,3227,3178,43.1,6405
Jefferson,Nebraska,NebraskaJefferson,3486,3702,45.7,7188
Johnson,Nebraska,NebraskaJohnson,3097,2100,40.6,5197
Kearney,Nebraska,NebraskaKearney,3240,3312,40.1,6552
Keith,Nebraska,NebraskaKeith,4141,3958,49.5,8099
Keya,Nebraska,NebraskaKeya,416,376,45.4,792
Kimball,Nebraska,NebraskaKimball,1855,1812,45.6,3667
Knox,Nebraska,NebraskaKnox,4150,4310,46.9,8460
Lancaster,Nebraska,NebraskaLancaster,155699,154395,33.3,310094
Lincoln,Nebraska,NebraskaLincoln,17497,17936,40.3,35433
Logan,Nebraska,NebraskaLogan,462,424,38.9,886
Loup,Nebraska,NebraskaLoup,291,294,56.9,585
McPherson,Nebraska,NebraskaMcPherson,241,213,50.9,454
Madison,Nebraska,NebraskaMadison,17490,17674,36.8,35164
Merrick,Nebraska,NebraskaMerrick,3919,3884,43.6,7803
Morrill,Nebraska,NebraskaMorrill,2445,2396,42.5,4841
Nance,Nebraska,NebraskaNance,1769,1785,44.3,3554
Nemaha,Nebraska,NebraskaNemaha,3465,3539,39.3,7004
Nuckolls,Nebraska,NebraskaNuckolls,2140,2135,49.3,4275
Otoe,Nebraska,NebraskaOtoe,7742,8154,41.5,15896
Pawnee,Nebraska,NebraskaPawnee,1277,1399,50,2676
Perkins,Nebraska,NebraskaPerkins,1499,1408,42.7,2907
Phelps,Nebraska,NebraskaPhelps,4578,4542,42.6,9120
Pierce,Nebraska,NebraskaPierce,3566,3591,41.5,7157
Platte,Nebraska,NebraskaPlatte,16860,16203,38.5,33063
Polk,Nebraska,NebraskaPolk,2540,2715,45.2,5255
Red,Nebraska,NebraskaRed,5401,5405,41.1,10806
Richardson,Nebraska,NebraskaRichardson,3974,4035,48,8009
Rock,Nebraska,NebraskaRock,674,676,50.9,1350
Saline,Nebraska,NebraskaSaline,7257,7031,35.8,14288
Sarpy,Nebraska,NebraskaSarpy,89176,89175,34.4,178351
Saunders,Nebraska,NebraskaSaunders,10628,10396,40.8,21024
Scotts,Nebraska,NebraskaScotts,17575,18680,39.5,36255
Seward,Nebraska,NebraskaSeward,8726,8401,37.9,17127
Sheridan,Nebraska,NebraskaSheridan,2566,2668,45.9,5234
Sherman,Nebraska,NebraskaSherman,1527,1515,49.9,3042
Sioux,Nebraska,NebraskaSioux,643,623,47,1266
Stanton,Nebraska,NebraskaStanton,3002,2990,41.2,5992
