County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Newton,Arkansas,ArkansasNewton,3932,3916,49.1,7848
Ouachita,Arkansas,ArkansasOuachita,11327,12779,42.3,24106
Perry,Arkansas,ArkansasPerry,5184,5138,43.5,10322
Phillips,Arkansas,ArkansasPhillips,9006,10028,38.5,19034
Pike,Arkansas,ArkansasPike,5346,5462,42.8,10808
Poinsett,Arkansas,ArkansasPoinsett,11734,12320,39.7,24054
Polk,Arkansas,ArkansasPolk,9828,10335,43.7,20163
Pope,Arkansas,ArkansasPope,31317,32327,35,63644
Prairie,Arkansas,ArkansasPrairie,4120,4124,46.2,8244
Pulaski,Arkansas,ArkansasPulaski,188496,204967,36.9,393463
Randolph,Arkansas,ArkansasRandolph,8784,8819,41.5,17603
St.Francis,Arkansas,ArkansasSt.Francis,14441,11853,38.9,26294
Saline,Arkansas,ArkansasSaline,58030,59979,39.2,118009
Scott,Arkansas,ArkansasScott,5332,5110,41,10442
Searcy,Arkansas,ArkansasSearcy,3981,3942,47.6,7923
Sebastian,Arkansas,ArkansasSebastian,62274,65187,37.5,127461
Sevier,Arkansas,ArkansasSevier,8607,8586,34.9,17193
Sharp,Arkansas,ArkansasSharp,8335,8708,47.4,17043
Stone,Arkansas,ArkansasStone,6209,6237,49.8,12446
Union,Arkansas,ArkansasUnion,19332,20400,40.1,39732
Van,Arkansas,ArkansasVan,8284,8400,47.9,16684
Washington,Arkansas,ArkansasWashington,114181,114348,31.8,228529
White,Arkansas,ArkansasWhite,38751,40053,36.6,78804
Woodruff,Arkansas,ArkansasWoodruff,3051,3609,45.6,6660
Yell,Arkansas,ArkansasYell,10782,10791,39.3,21573
Alameda,California,CaliforniaAlameda,807171,836529,37.4,1643700
Alpine,California,CaliforniaAlpine,612,534,44.3,1146
Amador,California,CaliforniaAmador,20302,17527,50.5,37829
Butte,California,CaliforniaButte,112513,114562,37.1,227075
Calaveras,California,CaliforniaCalaveras,22434,22801,52.1,45235
Colusa,California,CaliforniaColusa,11124,10340,35.1,21464
Contra,California,CaliforniaContra,553701,579546,39.4,1133247
Del,California,CaliforniaDel,14575,12849,38.6,27424
El,California,CaliforniaEl,93040,93621,45.8,186661
Fresno,California,CaliforniaFresno,487936,490194,32,978130
Glenn,California,CaliforniaGlenn,14171,13726,36.6,27897
Humboldt,California,CaliforniaHumboldt,67666,68102,38,135768
Imperial,California,CaliforniaImperial,92250,87966,32.4,180216
Inyo,California,CaliforniaInyo,9084,9001,45.7,18085
Kern,California,CaliforniaKern,452646,430407,31.5,883053
Kings,California,CaliforniaKings,82674,67401,31.7,150075
Lake,California,CaliforniaLake,31879,32269,45.6,64148
Lassen,California,CaliforniaLassen,20671,10514,36,31185
Los,California,CaliforniaLos,4976788,5121264,36.2,10098052
Madera,California,CaliforniaMadera,74683,80330,33.9,155013
Marin,California,CaliforniaMarin,127113,133182,46.5,260295
Mariposa,California,CaliforniaMariposa,8920,8620,51.4,17540
Mendocino,California,CaliforniaMendocino,43439,43983,42.8,87422
Merced,California,CaliforniaMerced,135816,133259,30.9,269075
Modoc,California,CaliforniaModoc,4613,4325,47.7,8938
Mono,California,CaliforniaMono,7341,6833,38.3,14174
Monterey,California,CaliforniaMonterey,220967,212245,34.1,433212
Napa,California,CaliforniaNapa,70082,70448,41.1,140530
Nevada,California,CaliforniaNevada,48889,50203,50.1,99092
Orange,California,CaliforniaOrange,1562429,1601753,37.8,3164182
Placer,California,CaliforniaPlacer,185511,194566,41.9,380077
Plumas,California,CaliforniaPlumas,9423,9276,52.2,18699
Riverside,California,CaliforniaRiverside,1186188,1197098,35.3,2383286
Sacramento,California,CaliforniaSacramento,737742,772281,36,1510023
SanBenito,California,CaliforniaSanBenito,29626,29790,35.5,59416
SanBernardino,California,CaliforniaSanBernardino,1062472,1072941,33.1,2135413
SanDiego,California,CaliforniaSanDiego,1661931,1640902,35.6,3302833
SanFrancisco,California,CaliforniaSanFrancisco,443970,426074,38.2,870044
SanJoaquin,California,CaliforniaSanJoaquin,364612,367600,34.1,732212
SanLuis,California,CaliforniaSanLuis,142769,138686,39.1,281455
SanMateo,California,CaliforniaSanMateo,377851,388084,39.6,765935
Santa,California,CaliforniaSanta,222208,221530,33.7,443738
Santa,California,CaliforniaSanta,970469,951731,37,1922200
Santa,California,CaliforniaSanta,135727,138038,37.4,273765
Shasta,California,CaliforniaShasta,87859,91226,41.8,179085
Sierra,California,CaliforniaSierra,1542,1388,55.5,2930
Siskiyou,California,CaliforniaSiskiyou,21706,21834,48,43540
Solano,California,CaliforniaSolano,217931,220599,37.9,438530
Sonoma,California,CaliforniaSonoma,245196,256121,41.7,501317
Stanislaus,California,CaliforniaStanislaus,266844,272457,34,539301
Sutter,California,CaliforniaSutter,47789,48083,35.7,95872
Tehama,California,CaliforniaTehama,31504,31869,40.9,63373
Trinity,California,CaliforniaTrinity,6582,6280,51.8,12862
Tulare,California,CaliforniaTulare,230255,230222,30.8,460477
Tuolumne,California,CaliforniaTuolumne,28102,25830,48.4,53932
Ventura,California,CaliforniaVentura,419588,428524,37.9,848112
Yolo,California,CaliforniaYolo,104375,110602,31,214977
Yuba,California,CaliforniaYuba,38468,37025,32.5,75493
Adams,Colorado,ColoradoAdams,250704,246411,33.6,497115
Alamosa,Colorado,ColoradoAlamosa,8242,8202,30.4,16444
Arapahoe,Colorado,ColoradoArapahoe,314672,321999,36.5,636671
Archuleta,Colorado,ColoradoArchuleta,6546,6362,50.6,12908
Baca,Colorado,ColoradoBaca,1755,1808,47.7,3563
Bent,Colorado,ColoradoBent,3790,2019,41,5809
Boulder,Colorado,ColoradoBoulder,161355,159675,36.2,321030
Broomfield,Colorado,ColoradoBroomfield,32789,33331,37.7,66120
Chaffee,Colorado,ColoradoChaffee,10268,8896,49.1,19164
Cheyenne,Colorado,ColoradoCheyenne,964,1075,35.9,2039
Clear,Colorado,ColoradoClear,4816,4563,47.8,9379
Conejos,Colorado,ColoradoConejos,4082,4060,39.4,8142
Costilla,Colorado,ColoradoCostilla,1941,1746,51.3,3687
Crowley,Colorado,ColoradoCrowley,3526,2104,35.6,5630
Custer,Colorado,ColoradoCuster,2265,2375,58.4,4640
Delta,Colorado,ColoradoDelta,15235,15111,47.6,30346
Denver,Colorado,ColoradoDenver,347188,346229,34.4,693417
Dolores,Colorado,ColoradoDolores,989,852,51.8,1841
Douglas,Colorado,ColoradoDouglas,163766,164848,38.4,328614
Eagle,Colorado,ColoradoEagle,28804,25553,36.5,54357
Elbert,Colorado,ColoradoElbert,12721,12441,46.1,25162
El,Colorado,ColoradoEl,347478,340675,34.1,688153
Fremont,Colorado,ColoradoFremont,27324,19678,44.9,47002
Garfield,Colorado,ColoradoGarfield,29779,28759,36.3,58538
Gilpin,Colorado,ColoradoGilpin,3169,2755,45.7,5924
Grand,Colorado,ColoradoGrand,8129,6937,43.5,15066
Gunnison,Colorado,ColoradoGunnison,8983,7554,34.5,16537
Hinsdale,Colorado,ColoradoHinsdale,406,472,57.5,878
Huerfano,Colorado,ColoradoHuerfano,3305,3278,55.1,6583
Jackson,Colorado,ColoradoJackson,631,665,50.9,1296
Jefferson,Colorado,ColoradoJefferson,283919,286508,40.4,570427
Kiowa,Colorado,ColoradoKiowa,750,699,40.4,1449
Kit,Colorado,ColoradoKit,4158,3477,38.5,7635
Lake,Colorado,ColoradoLake,4176,3409,37.8,7585
La,Colorado,ColoradoLa,27790,27311,39.9,55101
Larimer,Colorado,ColoradoLarimer,168615,169546,35.9,338161
Las,Colorado,ColoradoLas,7452,6727,46.1,14179
Lincoln,Colorado,ColoradoLincoln,3471,2077,37.9,5548
Logan,Colorado,ColoradoLogan,11708,9981,38.4,21689
Mesa,Colorado,ColoradoMesa,74027,75971,39.1,149998
Mineral,Colorado,ColoradoMineral,402,421,58.6,823
Moffat,Colorado,ColoradoMoffat,6698,6362,37.8,13060
Montezuma,Colorado,ColoradoMontezuma,12760,13149,44.4,25909
Montrose,Colorado,ColoradoMontrose,20374,20894,45.1,41268
Morgan,Colorado,ColoradoMorgan,14112,14145,36.3,28257
Otero,Colorado,ColoradoOtero,8872,9453,40.2,18325
Ouray,Colorado,ColoradoOuray,2312,2410,53,4722
Park,Colorado,ColoradoPark,9172,8220,50.6,17392
Phillips,Colorado,ColoradoPhillips,2295,2023,39,4318
Pitkin,Colorado,ColoradoPitkin,9408,8501,42,17909
Prowers,Colorado,ColoradoProwers,6035,6017,38,12052
Pueblo,Colorado,ColoradoPueblo,80962,83723,38.9,164685
Rio,Colorado,ColoradoRio,3291,3174,35.9,6465
Rio,Colorado,ColoradoRio,5696,5655,41.5,11351
Routt,Colorado,ColoradoRoutt,12915,11959,39.8,24874
Saguache,Colorado,ColoradoSaguache,3182,3286,49.1,6468
SanJuan,Colorado,ColoradoSanJuan,283,261,52.1,544
SanMiguel,Colorado,ColoradoSanMiguel,4215,3753,41.5,7968
Sedgwick,Colorado,ColoradoSedgwick,1162,1188,49.1,2350
Summit,Colorado,ColoradoSummit,16684,13745,39.1,30429
Teller,Colorado,ColoradoTeller,12157,11956,49.9,24113
Washington,Colorado,ColoradoWashington,2510,2330,41.6,4840
Weld,Colorado,ColoradoWeld,148627,146496,34.3,295123
Yuma,Colorado,ColoradoYuma,5019,5050,38.4,10069
Fairfield,Connecticut,ConnecticutFairfield,459963,484385,40.3,944348
Hartford,Connecticut,ConnecticutHartford,434650,460080,40.4,894730
Litchfield,Connecticut,ConnecticutLitchfield,90447,92584,47.2,183031
Middlesex,Connecticut,ConnecticutMiddlesex,79676,83692,45.4,163368
New,Connecticut,ConnecticutNew,414311,445028,40.1,859339
New,Connecticut,ConnecticutNew,134703,134178,41.4,268881
Tolland,Connecticut,ConnecticutTolland,75821,75448,37.5,151269
Windham,Connecticut,ConnecticutWindham,57560,58978,41.3,116538
Kent,Delaware,DelawareKent,84271,90551,37.6,174822
New,Delaware,DelawareNew,268870,286263,38.1,555133
Sussex,Delaware,DelawareSussex,106429,113111,49,219540
District,District of Columbia,District of ColumbiaDistrict,324881,359617,33.9,684498
Alachua,Florida,FloridaAlachua,127298,135850,31.3,263148
Baker,Florida,FloridaBaker,14753,13032,37.6,27785
Bay,Florida,FloridaBay,90768,91714,39.4,182482
Bradford,Florida,FloridaBradford,14841,12138,40.1,26979
Brevard,Florida,FloridaBrevard,282023,294785,47.2,576808
Broward,Florida,FloridaBroward,929712,979439,40.1,1909151
